dtheta	theta2	sin(theta)	cos(theta)	u
0.105768772412159	-0.0509426455416311	-0.0509206144061553	0.998702704025828	2.49978978274435
0.785043580871802	0.00275409255433571	0.00275408907269318	0.999996207489498	2.49620522211812
1.54181554935387	0.122631868713163	0.122324731652253	0.992490130946502	1.35556307373987
1.79318165705990	0.295794732379656	0.291500159871449	0.956570779814500	-2.29542422073563
0.328582053208075	0.396768164480691	0.386439596165677	0.922314717715872	-2.26459008443565
-0.790921479503884	0.374618621715613	0.365917627057138	0.930647242626804	-2.44945145683337
-2.17513441949696	0.240839180250560	0.238517670278696	0.971138157506348	-2.47874043450506
-3.01032701085798	0.00740700676114379	0.00740693903196942	0.999972568250838	-2.22197091485908
-3.50503311143646	-0.323619038207306	-0.317999812357219	0.948090775896894	-2.40754670199740
-3.39086420211093	-0.661533022878880	-0.614327207203139	0.789051381400471	-2.49882006444064
-3.11083804603391	-0.993697982968314	-0.838049303381547	0.545594506113930	-2.32647049896845
-2.36244439055128	-1.26805189824784	-0.954521858310831	0.298140943191032	2.49939902409299
-0.167185607340612	-1.37615106365222	-0.981116343953148	0.193418509010920	2.22199452877237
1.96707860674099	-1.30428487785760	-0.964695536181010	0.263367656466079	2.49141199492055
4.10674778297240	-1.00200295856807	-0.842551499292991	0.538615791672629	2.46363495937938
5.74125200177098	-0.517189594812773	-0.494439255258070	0.869212185176810	2.49487674508752
6.77494844958542	0.133191293014315	0.132797841673953	0.991143144680293	2.49999639321537
6.88126592705671	0.809186068047921	0.723725729711858	0.690087724969108	2.49995885977837
6.39701703679955	1.45999335290967	0.993867628422374	0.110576386150417	1.59243840955394
5.24117574424417	2.05764157752809	0.883813172142957	-0.467840011912837	-0.776029528978557
3.84755445600347	2.50734626685229	0.592570633262996	-0.805518494259624	-2.23054418769055
2.53571013039680	2.84169525976892	0.295422181678959	-0.955366806295909	-2.49776180647351
1.45541431313223	3.02848795656088	0.112863699339772	-0.993610479700844	-2.49625752659666
0.723580209223866	3.12361232448749	0.0179793603011672	-0.999838358237551	-2.39142323410550
0.0891371768574252	3.17134732457043	-0.0297502806727158	-0.999557362435941	-1.23049381496676
-0.268813369146602	3.16195521889905	-0.0203611581695582	-0.999792690130306	0.812274646318575
0.151510737174664	3.14747976047084	-0.00588707287518950	-0.999982671036335	-1.06773858940144
-0.453791195016329	3.12666139807412	0.0149307007202234	-0.999888530875319	2.00970187988780
0.0924014179269737	3.14235693606816	-0.000764282403955695	-0.999999707936161	-0.672359658924100
-0.0848239105997973	3.12665009586903	0.0149420016645091	-0.999888362061614	0.583866003764572
0.375459686045551	3.14854578950648	-0.00695307989065688	-0.999975827047851	-1.95119741744811
-0.450048033648907	3.15987453360183	-0.0182808616456486	-0.999832891086052	1.62286505338539
0.0171000681323505	3.14494073857253	-0.00334807872758025	-0.999994395168710	-0.334654213858993
-0.0583814911175329	3.13864865821124	0.00294399112590520	-0.999995666448736	0.199851834147056
0.0264340304625170	3.13155920990911	0.0100332753370805	-0.999949665426221	-0.0973859260923516
-0.191699214377327	3.14169007577542	-9.74221854751294e-05	-0.999999995254459	0.817820751608255
0.246644389365940	3.13978271053962	0.00180994206198152	-0.999998362053525	-1.35251771272849
-0.142296829973550	3.16473958869292	-0.0231448682120141	-0.999732121658321	0.0992491215058905
-0.118770808040048	3.16512413538991	-0.0235293101765139	-0.999723147457644	-0.0356789291989182
-0.0488775945958739	3.18943320300472	-0.0478223025807068	-0.998855859158807	-0.910211467007566
