x	v	dtheta	theta
0.030108	-0.031756	-0.082215	-0.056651
0.052787	0.50262	-1.4533	-0.11757
0.01236	-1.1452	3.812	-0.0097261
-0.14838	-1.9954	5.6118	0.49226
-0.26832	-0.49676	0.25894	0.76276
-0.28681	0.72138	-4.4088	0.57006
-0.072244	2.4755	-10.139	-0.17771
0.1592	2.4625	-8.416	-1.1469
0.30445	0.90584	-5.0498	-1.7793
0.35078	-0.26433	-3.8442	-2.2257
0.29009	-1.2831	-4.1867	-2.6098
0.1803	-0.73146	-1.5744	-2.8904
0.096697	-1.0026	-1.7894	-3.039
-0.0052747	-0.90292	-1.5605	-3.209
-0.071264	-0.3322	-0.22848	-3.2824
-0.095301	-0.24935	-0.44553	-3.3145
-0.11189	0.37087	0.88891	-3.2894
-0.055078	0.32988	0.29233	-3.2511
0.0077602	0.99621	2.1122	-3.1302
0.090867	0.64131	1.2453	-2.9838
0.13038	0.038259	0.14195	-2.9314
0.092994	-0.66823	-1.2389	-2.9558
0.011036	-1.2657	-2.8207	-3.1513
-0.074054	-0.20089	0.066931	-3.2802
-0.099653	-0.2483	-0.51058	-3.3281
-0.087519	0.5873	1.4324	-3.267
-0.02674	0.35395	0.58703	-3.1755
-0.00045353	0.39365	0.70546	-3.1108
0.040334	0.12624	0.049306	-3.0603
0.058584	-0.032901	-0.27549	-3.075
0.027468	0.082614	0.35105	-3.0971
0.020875	-0.24395	-0.51364	-3.0556
-0.0096545	-0.65643	-1.6895	-3.1911
-0.030062	0.49093	1.5285	-3.2033
-0.0034641	0.11131	0.42927	-3.0791
-0.032081	-0.54459	-1.4729	-3.1624
-0.028116	0.24534	0.79454	-3.1758
-0.031163	-0.10171	-0.33634	-3.1646
-0.013102	0.05769	0.12931	-3.1836
-0.0058529	0.222	0.52955	-3.1544
-0.0021642	0.074962	0.15151	-3.1075
