x	v	dtheta	theta
-0.0027726	0.024798	0.077578	0.064412
0.033713	0.62988	-1.9224	-0.012632
0.03588	-0.98	3.0388	0.037319
-0.12332	-2.1353	5.6813	0.51186
-0.26372	-0.54976	0.12266	0.77854
-0.26892	0.68322	-4.5944	0.5657
-0.091122	2.4221	-10.213	-0.1951
0.13169	2.3646	-8.3566	-1.1593
0.30093	0.86816	-5.0979	-1.8023
0.34061	-0.29642	-4.042	-2.253
0.25196	-1.1081	-4.0569	-2.6274
0.18594	-0.48161	-1.2414	-2.8988
0.12546	-0.53677	-0.92508	-3.0064
0.069475	-0.65374	-1.0332	-3.0903
-0.0071457	-0.63232	-0.94253	-3.1824
-0.050524	-0.52288	-0.96673	-3.2795
-0.058178	0.263	0.96068	-3.2586
-0.040307	0.091392	0.051525	-3.2504
-0.030577	0.69431	1.6756	-3.1699
0.036087	0.30256	0.66908	-3.048
0.041211	-0.21407	-0.6493	-3.0407
0.0072906	-0.36027	-0.84774	-3.1022
-0.019766	-0.30305	-0.71173	-3.1965
-0.038932	0.25867	0.90001	-3.1691
-0.024041	-0.22064	-0.60796	-3.1484
-0.026684	-0.022728	-0.17528	-3.1975
-0.014792	0.39324	0.84855	-3.1559
0.0079283	0.13963	0.13912	-3.1143
0.018882	0.080264	0.026996	-3.1245
0.028844	0.19146	0.48679	-3.094
0.046087	-0.15729	-0.36799	-3.0771
0.02741	-0.2091	-0.48371	-3.128
0.018049	0.029011	0.32532	-3.1211
-0.00025686	-0.28691	-0.69229	-3.1381
-0.016068	-0.038206	-0.029667	-3.1991
-0.0047353	0.2047	0.62897	-3.1583
-0.0048143	-0.046282	-0.080851	-3.1238
-0.010449	-0.22384	-0.57758	-3.1627
-0.036506	0.15648	0.44981	-3.1838
0.0092485	-0.013638	-0.098159	-3.1451
-0.0080577	0.15844	0.39276	-3.1296
