x	v	dtheta	theta	sin(theta)	cos(theta)	u
0.085147	-0.14103	0.024658	0.067018	0.066968	0.99776	3.711
0.095341	0.46367	-1.8809	-0.046919	-0.046902	0.9989	-9.9687
0.065462	-1.1392	3.0488	0.034713	0.034706	0.9994	-8.9773
-0.12044	-2.2768	5.6033	0.50952	0.48776	0.87298	9.9195
-0.26501	-0.63219	-0.065597	0.75057	0.68205	0.7313	7.4377
-0.27646	0.61356	-4.8699	0.51109	0.48913	0.87221	9.9982
-0.11382	2.2964	-10.191	-0.27589	-0.27241	0.96218	8.2349
0.11512	2.2399	-8.1569	-1.2129	-0.93663	0.35032	-9.4473
0.27073	0.76514	-5.091	-1.8508	-0.96105	-0.27639	-9.9335
0.29292	-0.40349	-4.2721	-2.2958	-0.74847	-0.66316	-4.8958
0.20345	-1.0025	-3.8896	-2.7007	-0.42673	-0.90438	5.4627
0.14037	-0.046111	-0.25002	-2.899	-0.24017	-0.97073	-5.1141
0.13115	-0.70922	-1.6676	-2.9916	-0.14948	-0.98877	2.4836
0.099898	-0.24044	-0.047466	-3.0653	-0.076169	-0.99709	-2.0107
0.028577	-0.54319	-0.76102	-3.1109	-0.030699	-0.99953	-1.3991
-0.042934	-0.76771	-1.5175	-3.2253	0.083574	-0.9965	4.7563
-0.083768	-0.093825	0.10584	-3.3026	0.16028	-0.98707	1.9643
-0.080873	0.13437	0.37718	-3.2628	0.12089	-0.99267	1.0222
-0.0635	0.23534	0.33796	-3.2278	0.086086	-0.99629	1.713
-0.034475	0.46529	0.7861	-3.1699	0.028287	-0.9996	-0.41693
0.03234	0.37637	0.53179	-3.1152	-0.026364	-0.99965	0.2212
0.039056	0.43249	0.85413	-3.065	-0.076564	-0.99706	-2.9362
0.064769	0.043775	-0.0098058	-3.0009	-0.14021	-0.99012	-3.6705
0.055466	-0.47198	-1.2159	-3.0661	-0.075443	-0.99715	2.4665
0.027669	-0.066054	0.11855	-3.1341	-0.0074675	-0.99997	-1.0344
0.019514	-0.23402	-0.29039	-3.1345	-0.0070669	-0.99998	-0.36662
-0.0089285	-0.27087	-0.50133	-3.1726	0.030983	-0.99952	1.6078
-0.011248	-0.04084	0.06074	-3.1973	0.055646	-0.99845	1.0455
-0.017758	0.095381	0.38811	-3.1665	0.024925	-0.99969	-1.3134
-0.016312	-0.10588	-0.30416	-3.1545	0.012886	-0.99992	0.95394
-0.020922	-0.00095628	0.00072517	-3.1829	0.041336	-0.99915	0.98702
-0.015287	0.16323	0.34581	-3.1639	0.022283	-0.99975	-0.32746
0.0044518	0.096423	0.1707	-3.1373	-0.0042918	-0.99999	-0.30297
0.0032483	0.069531	0.11874	-3.1119	-0.029685	-0.99956	-1.4444
0.0008573	-0.13452	-0.47706	-3.144	0.0024504	-1	2.3253
-0.0047182	0.21773	0.63956	-3.1403	-0.001336	-1	-2.1731
0.0088699	-0.12927	-0.24511	-3.0886	-0.05298	-0.9986	-2.0902
-0.0063451	-0.44244	-1.1985	-3.1757	0.034112	-0.99942	5.8562
-0.03461	0.46259	1.3323	-3.1669	0.025331	-0.99968	-3.0357
0.0078522	-0.006968	-0.098313	-3.0881	-0.053418	-0.99857	-1.7319
