x	v	dtheta	theta
-0.15266	0.61612	-1.7882	-0.15912
-0.18922	-1.0547	3.6008	-0.058751
-0.3506	-2.0661	6.1016	0.46378
-0.48423	-0.44526	0.42329	0.77393
-0.463	0.95251	-4.712	0.55563
-0.26522	2.6443	-10.127	-0.21788
-0.010355	2.6128	-8.3891	-1.1644
0.18187	1.1322	-5.1202	-1.8104
0.23154	-0.06531	-4.1032	-2.2785
0.18937	-0.74467	-3.8538	-2.6333
0.1645	0.021006	-0.56516	-2.8588
0.12671	-0.40547	-1.1427	-2.9602
0.1054	-0.31133	-0.46819	-3.0457
0.065367	-0.40467	-0.37347	-3.073
0.017786	-0.77613	-1.4487	-3.1498
-0.053913	-0.36088	-0.40622	-3.2646
-0.050537	-0.087683	0.088493	-3.2523
-0.066399	0.05043	0.13889	-3.2395
-0.063678	0.19737	0.32571	-3.2378
-0.03341	0.43891	0.80859	-3.1752
0.012009	0.34088	0.48869	-3.1079
0.063416	0.22055	0.3002	-3.0698
0.066969	0.14773	0.27629	-3.0459
0.051137	-0.18799	-0.40652	-3.0419
0.023938	-0.49037	-1.2068	-3.1492
0.032167	0.33849	1.2249	-3.1389
0.043735	-0.074768	0.1998	-3.0589
-0.0096939	-0.6622	-1.4026	-3.1116
-0.058029	-0.572	-1.2758	-3.2612
-0.052037	0.39201	1.1933	-3.2488
-0.044752	0.18803	0.34844	-3.1682
-0.027401	0.017732	-0.23766	-3.1964
-0.01578	0.61039	1.473	-3.1373
0.041424	0.1569	0.40259	-3.0168
0.01536	-0.53021	-1.3456	-3.0608
-0.028306	-0.41123	-0.99618	-3.1704
-0.042718	0.052947	0.20473	-3.2505
-0.03207	0.36592	0.9802	-3.1657
-0.016816	-0.0072233	-0.16233	-3.1419
0.0082722	0.055483	0.10488	-3.1414
