x	v	dtheta	theta
0.068062	0.71327	-2.2558	0.082848
0.045481	-0.86966	2.3476	0.082962
-0.10504	-2.1325	5.2655	0.47628
-0.23767	-0.65554	-0.080632	0.74656
-0.26169	0.59177	-4.8453	0.50299
-0.11001	2.2746	-10.072	-0.2749
0.1332	2.2426	-8.1259	-1.2289
0.2799	0.73599	-5.0837	-1.8488
0.27192	-0.45913	-4.2644	-2.3087
0.20659	-1.1023	-4.0949	-2.7061
0.14306	-0.067068	-0.24522	-2.9256
0.13502	-0.57902	-1.2816	-3.0051
0.054255	-0.24603	0.04006	-3.0478
0.010498	-0.94442	-1.8851	-3.1418
-0.045542	-0.40328	-0.54746	-3.2646
-0.054575	-0.0042775	0.28141	-3.2726
-0.057109	0.17365	0.44015	-3.2586
-0.024314	0.39257	0.89007	-3.175
0.0014701	0.17567	0.21902	-3.1438
0.0089487	0.28208	0.57568	-3.0799
0.038341	-0.17991	-0.6359	-3.0737
0.007947	-0.027277	-0.0052934	-3.1168
0.0087826	-0.20291	-0.55349	-3.1426
-0.0012462	0.15317	0.47918	-3.1547
0.0050099	-0.038535	-0.057311	-3.1266
-0.015753	-0.15046	-0.39061	-3.1457
-0.020838	-0.069356	-0.19459	-3.1923
-0.0053172	0.27213	0.69355	-3.1544
-0.0012799	0.023238	0.0034209	-3.1316
0.015651	-0.014053	-0.125	-3.1185
-0.0015301	0.025686	-0.03284	-3.1395
0.016237	0.07215	0.13372	-3.135
0.0047273	0.061804	0.21609	-3.1161
-0.0027516	-0.22404	-0.61879	-3.1336
-0.019401	0.018641	0.075836	-3.1756
-0.0011619	0.053714	0.12593	-3.1557
0.02586	0.078771	0.19013	-3.1309
0.037011	0.075846	0.1582	-3.1411
0.042938	0.23216	0.77929	-3.0636
0.033514	-0.35964	-0.68323	-3.0612
