x	v	theta	sin(theta)	cos(theta)	u
0.0051988	-0.036904	-0.065635	-0.18421	-0.18317	0.98308	3.9188
0.029368	0.46444	-0.95072	-0.24558	-0.24312	0.97	-9.9816
-0.0039011	-1.2176	4.5477	-0.069756	-0.069699	0.99757	-7.4465
-0.199	-2.0569	6.341	0.54061	0.51466	0.85739	9.9301
-0.30785	-0.45027	0.77813	0.86233	0.75936	0.65067	8.1749
-0.26755	0.81888	-3.9373	0.70149	0.64536	0.76388	9.9947
-0.11294	2.7094	-10.17	0.0061899	0.0061899	0.99998	7.843
0.17404	2.7814	-9.2349	-1.0346	-0.85968	0.51084	-9.7413
0.34986	1.091	-5.3472	-1.7148	-0.98965	-0.14351	-10
0.39761	-0.072849	-3.8699	-2.1599	-0.83144	-0.55561	-9.4386
0.35766	-1.1776	-4.0433	-2.5295	-0.57456	-0.81847	1.2492
0.25668	-0.85563	-1.9434	-2.8123	-0.32339	-0.94626	-1.6321
0.15687	-0.98837	-1.6717	-2.985	-0.15596	-0.98776	-0.47936
0.047306	-1.0047	-1.5855	-3.1595	0.017883	-0.99984	2.5719
-0.031083	-0.63646	-0.73787	-3.2691	0.12717	-0.99188	2.4397
-0.079662	-0.3253	-0.28024	-3.3165	0.17405	-0.98474	2.9468
-0.10497	0.034405	0.20959	-3.3151	0.17267	-0.98498	2.4921
-0.086735	0.32518	0.58768	-3.2803	0.13822	-0.9904	2.1952
-0.027889	0.60526	1.123	-3.2107	0.069021	-0.99762	0.44523
0.043421	0.66263	1.2454	-3.1039	-0.037713	-0.99929	-1.6046
0.092688	0.45458	0.9542	-2.9829	-0.15806	-0.98743	-4.5956
0.10633	-0.16629	-0.34434	-2.9688	-0.17196	-0.9851	-3.748
0.072982	-0.6769	-1.3741	-3.0576	-0.083862	-0.99648	1.1637
0.0067481	-0.45079	-0.55815	-3.1292	-0.012439	-0.99992	-1.8125
-0.053722	-0.73439	-1.541	-3.2345	0.092759	-0.99569	5.474
-0.074798	0.037785	0.44551	-3.2796	0.13758	-0.99049	0.34265
-0.079851	0.019178	0.014044	-3.26	0.11811	-0.993	2.4605
-0.073802	0.35365	0.65628	-3.2182	0.076562	-0.99706	-0.064922
-0.021871	0.29587	0.30532	-3.2128	0.071127	-0.99747	3.5501
0.03453	0.86762	2.0168	-3.0797	-0.061831	-0.99809	-3.5513
0.08958	0.3812	0.98656	-2.9241	-0.2158	-0.97644	-6.489
0.069721	-0.50307	-0.90236	-2.9203	-0.21948	-0.97562	-6.8425
-0.016784	-1.501	-3.4685	-3.1304	-0.011229	-0.99994	6.6726
-0.11189	-0.48542	-0.77132	-3.3152	0.17271	-0.98497	3.5733
-0.14397	-0.034141	-0.15435	-3.3568	0.21351	-0.97694	5.1333
-0.10954	0.61871	1.1779	-3.3341	0.19128	-0.98154	2.204
-0.04357	0.88526	1.6259	-3.1993	0.057699	-0.99833	-0.73904
0.06137	0.7739	1.3377	-3.0444	-0.097086	-0.99528	-2.7273
0.094577	0.41142	0.74819	-2.9562	-0.18437	-0.98286	-5.0164
0.12385	-0.25746	-0.64133	-2.9564	-0.18415	-0.9829	-2.7043
