x	v	dtheta	theta
-0.044375	0.66814	-2.289	-0.027589
-0.065785	-0.9428	2.7588	-0.01175
-0.22513	-2.22	5.9145	0.47645
-0.35889	-0.57094	0.18894	0.73797
-0.3466	0.77349	-4.8019	0.54064
-0.18037	2.4596	-10.178	-0.25766
0.062089	2.3991	-8.2113	-1.1786
0.22025	0.96734	-5.0957	-1.8518
0.25895	-0.21791	-4.2458	-2.2919
0.21736	-0.75198	-3.7848	-2.6925
0.18407	0.55516	0.91222	-2.8174
0.22012	-0.37143	-0.78318	-2.838
0.14942	-0.99419	-1.8787	-2.9573
0.058117	-1.0695	-1.7297	-3.1428
-0.053656	-0.67751	-0.71034	-3.2535
-0.11221	-0.74148	-1.409	-3.3403
-0.14467	0.14895	0.51198	-3.3792
-0.11655	0.45832	0.70362	-3.3512
-0.035348	1.0599	2.2117	-3.1896
0.055892	0.77677	1.4784	-3.0043
0.097878	0.19	0.27285	-2.9297
0.10143	-0.54992	-1.3482	-2.9683
0.035446	-0.6787	-1.3599	-3.0939
-0.032732	-0.48356	-0.80731	-3.2018
-0.04983	-0.25103	-0.45575	-3.2814
-0.082897	0.47936	1.3909	-3.2362
-0.026455	0.071146	0.081308	-3.1431
-0.035924	-0.068338	-0.40987	-3.1622
-0.0085892	0.24879	0.38776	-3.1698
0.0088943	0.39421	0.72794	-3.1278
0.042982	0.22194	0.41897	-3.0771
0.04457	-0.037936	-0.068499	-3.06
0.026302	-0.34455	-0.75548	-3.0763
-0.00035916	-0.44909	-1.0014	-3.1595
-0.026215	0.064544	0.3088	-3.2096
-0.02628	0.10271	0.28764	-3.166
-0.018396	-0.060351	-0.31025	-3.1765
-0.0042371	0.33313	0.82703	-3.1511
0.0058475	0.067256	0.08085	-3.1065
0.027237	-0.13309	-0.48283	-3.134
