x	v	dtheta	theta
-0.017303	0.61309	-2.4486	0.013452
-0.043934	-1.0044	2.5078	0.019325
-0.21289	-2.3133	5.7434	0.46172
-0.35461	-0.66526	0.013133	0.72679
-0.35661	0.7134	-5.0411	0.48596
-0.19647	2.3231	-10.111	-0.30426
0.039078	2.2963	-8.0502	-1.2442
0.20928	0.80944	-5.132	-1.8809
0.21115	-0.37805	-4.4788	-2.3444
0.14438	-0.70438	-3.6985	-2.7465
0.12777	0.59524	0.8992	-2.8838
0.14806	-0.19983	-0.5761	-2.8673
0.12268	-0.97966	-2.2609	-3.0101
0.034169	-0.19893	0.23817	-3.1013
-0.0086569	-0.78343	-1.4152	-3.1611
-0.066705	-0.53924	-0.96592	-3.2894
-0.087427	0.20285	0.79481	-3.2982
-0.057776	0.13416	0.29714	-3.2364
-0.034449	0.30088	0.59258	-3.1999
-0.01386	0.36449	0.65657	-3.1174
0.0032395	0.048562	-0.16923	-3.1088
0.019184	0.1295	0.24953	-3.1232
0.033361	0.065115	0.21056	-3.068
0.0014971	-0.36276	-0.91027	-3.1039
-0.024168	-0.21351	-0.54215	-3.1761
-0.018835	0.1139	0.34983	-3.1952
-0.013487	0.14913	0.37237	-3.1728
0.0047271	0.10923	0.25259	-3.1357
0.010559	-0.0057254	-0.0024921	-3.106
0.0029645	-0.22503	-0.60145	-3.1476
-0.0044062	0.15713	0.5279	-3.145
-0.011465	-0.15054	-0.35444	-3.1326
-0.0059833	-0.15519	-0.45803	-3.1905
-0.016542	0.4423	1.2878	-3.1251
0.013109	-0.1245	-0.27857	-3.0699
-0.031705	-0.50187	-1.3471	-3.1475
-0.056556	0.069236	0.19715	-3.2284
-0.037147	0.18045	0.39421	-3.1798
-0.019941	0.085542	-0.017213	-3.1747
0.014171	0.36363	0.81255	-3.1563
