x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.26227	-0.050189	0.15297	0.056805	0.056775	0.99839	4.2061
-0.21739	0.62792	-1.9286	-0.048814	-0.048795	0.99881	-9.7909
-0.26201	-0.95805	2.9924	0.021558	0.021556	0.99977	-9.5223
-0.43744	-2.1979	5.8698	0.49097	0.47148	0.88188	9.9981
-0.53882	-0.52721	0.1889	0.7811	0.70406	0.71014	9.0751
-0.52725	0.92789	-5.0816	0.53548	0.51025	0.86002	8.2883
-0.36266	2.4181	-9.81	-0.23621	-0.23402	0.97223	9.5924
-0.11008	2.5406	-8.3264	-1.1701	-0.92077	0.3901	-7.7732
0.065758	1.1618	-5.163	-1.8424	-0.96334	-0.26829	-9.764
0.12381	0.01732	-4.2593	-2.272	-0.7641	-0.6451	-7.3855
0.088563	-0.91009	-4.6863	-2.709	-0.41924	-0.90788	7.6331
0.056773	0.37206	-0.25692	-2.9528	-0.18768	-0.98223	-0.2169
0.10095	0.4186	0.44896	-2.9634	-0.1773	-0.98416	-3.2354
0.12663	0.041841	-0.16853	-2.9365	-0.20366	-0.97904	-3.5789
0.10294	-0.44135	-1.0006	-2.9927	-0.14834	-0.98894	-1.0964
0.073991	-0.54315	-1.0691	-3.1182	-0.023417	-0.99973	3.6884
0.028452	0.057083	0.80825	-3.1002	-0.04139	-0.99914	-4.0466
0.0043902	-0.55706	-0.91175	-3.1217	-0.019875	-0.9998	-0.95725
-0.067838	-0.73098	-1.458	-3.2214	0.079675	-0.99682	3.4223
-0.13364	-0.26771	-0.47163	-3.3175	0.175	-0.98457	3.2561
-0.1253	0.15818	0.16493	-3.3291	0.18644	-0.98247	4.3859
-0.087025	0.73564	1.3987	-3.2645	0.12256	-0.99246	0.22595
-0.0046654	0.7289	1.2493	-3.1373	-0.0042605	-0.99999	-1.0875
0.066296	0.59148	0.95218	-3.0396	-0.10182	-0.9948	-2.3736
0.1162	0.29674	0.53173	-2.9443	-0.19599	-0.98061	-4.9008
0.10713	-0.36605	-0.8452	-2.9758	-0.16502	-0.98629	-2.1344
0.040139	-0.63017	-1.2757	-3.0733	-0.068198	-0.99767	0.2386
0.00089133	-0.57232	-1.0739	-3.1797	0.03814	-0.99927	3.2449
-0.046415	-0.091613	0.16649	-3.2104	0.068797	-0.99763	-1.0664
-0.075122	-0.30556	-0.76765	-3.2565	0.11464	-0.99341	4.9989
-0.055522	0.41016	1.0197	-3.2494	0.10758	-0.9942	-0.11734
-0.017771	0.3563	0.6845	-3.1502	0.0086332	-0.99996	-1.1518
0.016757	0.16296	0.12415	-3.1189	-0.022665	-0.99974	0.48268
0.030995	0.25916	0.51578	-3.096	-0.045545	-0.99896	-1.7406
0.042731	0.013332	-0.016451	-3.0473	-0.094114	-0.99556	-2.6565
0.021219	-0.35874	-1.0143	-3.1084	-0.033168	-0.99945	3.0706
0.018149	0.11506	0.4594	-3.1341	-0.007485	-0.99997	-1.647
0.02926	-0.1285	-0.29496	-3.1484	0.0067811	-0.99998	2.1536
0.024189	0.21652	0.76073	-3.1112	-0.030385	-0.99954	-2.9058
0.040345	-0.22575	-0.37824	-3.1018	-0.039794	-0.99921	-0.33551
