x	v	dtheta	theta
0.013469	0.55131	-1.4502	-0.10118
-0.013527	-1.1024	3.6824	0.022974
-0.16563	-2.019	5.5993	0.52246
-0.29663	-0.42154	0.072086	0.78183
-0.27261	0.74274	-4.5344	0.58197
-0.13123	2.4902	-10.19	-0.19143
0.13167	2.4418	-8.3891	-1.1533
0.30577	0.92927	-5.0766	-1.8091
0.32491	-0.24295	-4.0052	-2.2278
0.26361	-1.2228	-4.3607	-2.6554
0.18651	-0.17481	-0.4251	-2.8876
0.16056	-0.74199	-1.3759	-2.9702
0.083008	-0.71624	-1.0502	-3.0817
-0.0007418	-0.7872	-1.1695	-3.1934
-0.068046	-0.57851	-0.86089	-3.2963
-0.11493	-0.026976	0.20686	-3.3258
-0.085169	0.1646	0.27239	-3.2988
-0.070125	0.6778	1.3895	-3.2114
0.010985	0.42475	0.6009	-3.1247
0.061481	0.42047	0.80229	-3.0487
0.07294	0.071214	-0.011181	-3.0041
0.045313	-0.36355	-0.89646	-3.0688
0.019366	-0.21416	-0.3329	-3.1306
0.010539	-0.19606	-0.28833	-3.1493
-0.013289	-0.13477	-0.16884	-3.1873
0.008066	0.029488	0.23648	-3.1623
-0.0082088	-0.02155	0.018469	-3.1528
-0.011729	-0.1009	-0.24666	-3.1714
-0.0097323	0.13975	0.33654	-3.1586
0.0033912	0.044346	0.0046863	-3.1609
0.017183	0.28021	0.72751	-3.1097
0.012252	-0.11826	-0.24419	-3.0929
-0.0083349	-0.35536	-0.8878	-3.1424
-0.034258	0.016473	0.17056	-3.1681
-0.057888	-0.21461	-0.65164	-3.2113
-0.030931	0.36024	0.8018	-3.1939
0.0042648	0.25072	0.40511	-3.1367
0.030486	0.20653	0.36027	-3.1029
0.041962	0.065409	0.12083	-3.0914
0.029347	-0.058158	-0.058869	-3.078
