x	v	dtheta	theta	sin(theta)	cos(theta)	u
0.11488	-0.019999	0.038635	0.092248	0.092117	0.99575	3.4434
0.13184	0.5655	-1.9321	-0.0033524	-0.0033524	0.99999	-9.9999
0.11933	-1.0447	2.9166	0.05249	0.052466	0.99862	-9.4362
-0.060257	-2.2044	5.5514	0.48786	0.46874	0.88334	9.3989
-0.19879	-0.66666	0.077741	0.77152	0.69723	0.71685	7.1258
-0.20314	0.56333	-4.5726	0.56654	0.53672	0.84376	10
-0.071062	2.3103	-10.178	-0.20558	-0.20413	0.97894	8.2017
0.20322	2.2509	-8.3532	-1.1801	-0.92463	0.38086	-9.7312
0.31623	0.69054	-5.116	-1.8145	-0.97045	-0.2413	-9.9804
0.3244	-0.48422	-4.1533	-2.2747	-0.76234	-0.64718	-6.7335
0.23061	-1.2586	-4.1353	-2.6844	-0.44145	-0.89729	4.197
0.13831	-0.5099	-1.0468	-2.9094	-0.2301	-0.97317	-4.3705
0.090819	-1.1091	-2.4088	-3.0983	-0.04323	-0.99907	6.7923
0.026007	-0.0091979	0.8144	-3.1647	0.023155	-0.99973	-2.5077
-0.0065673	-0.409	-0.35571	-3.1292	-0.012351	-0.99992	-3.1578
-0.063344	-0.93643	-2.0509	-3.2697	0.12774	-0.99181	7.8281
-0.092011	0.20298	0.82374	-3.323	0.18044	-0.98359	0.65597
-0.067117	0.23678	0.50102	-3.2477	0.10594	-0.99437	1.1493
-0.048007	0.36998	0.6559	-3.171	0.029356	-0.99957	-0.94251
-0.013571	0.16805	0.041302	-3.1601	0.018476	-0.99983	2.1069
0.016457	0.52127	1.0443	-3.1101	-0.03146	-0.99951	-2.1438
0.035097	0.24032	0.34767	-3.0167	-0.12455	-0.99221	-4.0166
0.032242	-0.36654	-1.124	-3.0852	-0.056313	-0.99841	3.256
0.041166	0.18818	0.62797	-3.0979	-0.043728	-0.99904	-2.5504
0.027009	-0.18441	-0.31875	-3.0683	-0.073236	-0.99731	-2.4697
-0.021695	-0.56335	-1.369	-3.1714	0.029754	-0.99956	4.7565
-0.036773	0.17978	0.66934	-3.1933	0.051729	-0.99866	-1.6773
-0.038665	-0.13614	-0.31027	-3.1805	0.038931	-0.99924	0.95213
-0.023975	0.0091779	-0.096431	-3.2085	0.06681	-0.99777	3.0709
-0.0033123	0.45949	1.1792	-3.1549	0.013342	-0.99991	-2.202
0.011593	0.13071	0.30449	-3.0791	-0.062489	-0.99805	-3.064
0.022287	-0.31185	-0.87265	-3.0892	-0.052403	-0.99863	1.3666
-0.0062224	-0.11644	-0.19908	-3.1575	0.015909	-0.99987	0.47691
-0.031056	-0.040813	-0.047211	-3.1758	0.034206	-0.99941	0.11131
-0.018	-0.032464	-0.13108	-3.1806	0.038999	-0.99924	1.6959
-0.0046481	0.20256	0.49349	-3.1578	0.016163	-0.99987	-0.79766
0.0089261	0.079265	0.10779	-3.1386	-0.0030228	-1	0.19616
0.019742	0.117	0.27927	-3.1099	-0.03166	-0.9995	-1.4991
0.029663	-0.1079	-0.28761	-3.1314	-0.010168	-0.99995	1.5293
0.01989	0.17099	0.55901	-3.1026	-0.038952	-0.99924	-2.8211
