x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.0037181	0.0089559	-0.065965	-0.030442	-0.030437	0.99954	3.6625
0.026081	0.54399	-1.4996	-0.11509	-0.11483	0.99338	-9.9971
-0.021653	-1.0872	3.7187	0.0079597	0.0079596	0.99997	-7.5901
-0.15663	-2.0125	5.6957	0.50401	0.48294	0.87565	9.3659
-0.29013	-0.44818	0.20721	0.79177	0.7116	0.70259	7.1421
-0.28476	0.74371	-4.4	0.59298	0.55884	0.82928	9.9985
-0.099588	2.527	-10.145	-0.19242	-0.19124	0.98154	8.0094
0.14502	2.492	-8.4147	-1.1231	-0.90143	0.43293	-8.7663
0.32725	1.018	-5.0679	-1.7918	-0.97567	-0.21923	-9.9991
0.36221	-0.15404	-3.9037	-2.2081	-0.80373	-0.595	-8.5302
0.29184	-1.1688	-4.22	-2.6089	-0.50787	-0.86143	4.5977
0.21308	-0.33699	-0.834	-2.8615	-0.27645	-0.96103	-3.5978
0.15351	-0.7611	-1.4308	-2.9789	-0.16194	-0.9868	-0.084645
0.087146	-0.69823	-0.89855	-3.0683	-0.073197	-0.99732	-1.6769
0.025764	-0.9481	-1.6476	-3.1981	0.056502	-0.9984	4.8672
-0.03734	-0.22252	0.17547	-3.2879	0.1458	-0.98931	1.1439
-0.080559	-0.12477	0.15139	-3.2638	0.12188	-0.99254	-0.34216
-0.10145	-0.22884	-0.5729	-3.2683	0.12636	-0.99198	3.788
-0.079797	0.25926	0.52822	-3.2733	0.13135	-0.99134	1.8297
-0.052943	0.48859	0.88048	-3.2228	0.081108	-0.99671	0.65192
0.00026672	0.58967	1.0399	-3.1154	-0.026218	-0.99966	-1.7805
0.046684	0.30583	0.45922	-3.0531	-0.088342	-0.99609	-2.2181
0.070933	0.023337	-0.083334	-3.0504	-0.091085	-0.99584	-0.89516
0.071711	-0.055982	-0.00024165	-3.0341	-0.10724	-0.99423	-3.0037
0.058192	-0.47652	-1.0067	-3.0789	-0.062653	-0.99804	1.2245
0.016164	-0.27097	-0.32852	-3.1483	0.0067516	-0.99998	0.0075437
-0.017949	-0.2504	-0.38572	-3.1785	0.036899	-0.99932	0.78844
-0.03525	-0.17413	-0.26003	-3.2121	0.070487	-0.99751	1.7046
-0.06497	0.067283	0.21435	-3.2265	0.084824	-0.9964	0.45583
-0.03865	0.10361	0.15653	-3.1872	0.045569	-0.99896	0.58294
-0.018576	0.17203	0.23194	-3.1709	0.029305	-0.99957	0.84451
-0.0091712	0.30265	0.54779	-3.1471	0.0054723	-0.99999	-0.68726
0.013799	0.1842	0.34017	-3.1047	-0.036931	-0.99932	-1.6098
0.045197	-0.032016	-0.15351	-3.0713	-0.070272	-0.99753	-0.9952
0.0087185	-0.14617	-0.38929	-3.1152	-0.026391	-0.99965	0.16549
0.01747	-0.12769	-0.21448	-3.1291	-0.012443	-0.99992	0.027404
-0.0047782	-0.12529	-0.24145	-3.1652	0.023578	-0.99972	1.1596
-0.0039882	0.066719	0.25078	-3.1467	0.0050775	-0.99999	-1.0953
-0.011068	-0.111	-0.31517	-3.1658	0.024188	-0.99971	1.7819
-0.013048	0.15218	0.43167	-3.1541	0.012511	-0.99992	-1.3535
