x	v	dtheta	theta
-0.010881	0.54953	-2.1831	-0.059029
-0.040264	-1.0989	2.9596	-0.021259
-0.21999	-2.273	5.8747	0.45419
-0.34784	-0.6546	0.16408	0.74545
-0.35986	0.72735	-4.9215	0.51325
-0.17759	2.4157	-10.172	-0.2655
0.04766	2.3437	-8.1564	-1.2155
0.19472	0.85605	-5.1233	-1.868
0.23464	-0.32103	-4.2959	-2.326
0.16473	-0.77288	-3.6845	-2.7225
0.15008	0.35278	0.47338	-2.8601
0.14238	-0.50508	-1.1496	-2.9049
0.056536	-0.9816	-2.0372	-3.0565
-0.008314	-0.66638	-1.0431	-3.1923
-0.076627	-0.41223	-0.66726	-3.2955
-0.071154	0.16575	0.66252	-3.2677
-0.076611	0.11464	0.095915	-3.2471
-0.016878	0.45802	0.92613	-3.1821
-0.00032895	0.37841	0.67895	-3.1149
0.027201	0.12417	0.049287	-3.0707
0.019786	-0.063852	-0.30606	-3.0852
0.012894	-0.1246	-0.39425	-3.1238
0.02766	0.073555	0.16285	-3.1425
0.029711	0.1624	0.52434	-3.1086
0.018261	-0.16978	-0.28923	-3.0821
-0.0047774	-0.47525	-1.216	-3.1607
-0.0034261	0.25088	0.90423	-3.1791
-0.0050744	-0.021933	0.020692	-3.1345
-0.016491	-0.18503	-0.52294	-3.1584
-0.029972	0.10903	0.31297	-3.1701
-0.005725	-0.069551	-0.26621	-3.1524
0.024163	0.15395	0.32878	-3.1566
0.02053	0.26939	0.67778	-3.1105
0.015994	-0.053646	-0.18118	-3.0748
-0.0085493	-0.35006	-1.0227	-3.1581
0.0077717	0.36139	1.1001	-3.1402
0.010645	-0.049148	-0.037482	-3.0946
-0.0028144	-0.38247	-0.952	-3.1261
-0.033156	-0.077169	-0.16058	-3.1991
-0.019381	0.10839	0.3748	-3.1665
