x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.083989	0.0068952	-0.020021	0.10461	0.10442	0.99453	4.1279
-0.046639	0.73868	-2.3241	-0.0053432	-0.0053432	0.99999	-9.9999
-0.047185	-0.9169	2.6688	0.0068049	0.0068049	0.99998	-9.8693
-0.2111	-2.1999	5.8251	0.47654	0.45871	0.88859	9.796
-0.36035	-0.5467	0.13294	0.7591	0.68827	0.72545	8.0782
-0.34347	0.78074	-4.8359	0.50599	0.48467	0.87469	9.9884
-0.19061	2.4722	-10.202	-0.25791	-0.25506	0.96692	8.1762
0.084972	2.3743	-8.1569	-1.2159	-0.93768	0.34749	-9.7392
0.23787	0.86074	-5.0584	-1.8543	-0.96008	-0.27972	-9.9198
0.26688	-0.29814	-4.2036	-2.3054	-0.74212	-0.67027	-4.7782
0.19979	-0.85963	-3.6825	-2.6622	-0.4612	-0.8873	3.3981
0.1538	-0.20444	-0.90864	-2.8818	-0.25684	-0.96645	-2.7881
0.12445	-0.51799	-1.3295	-2.999	-0.14211	-0.98985	2.2362
0.082296	-0.11309	0.14786	-3.068	-0.073477	-0.9973	-2.4763
0.049327	-0.47202	-0.72065	-3.0907	-0.0509	-0.9987	-0.93391
-0.0069603	-0.61217	-1.1277	-3.1984	0.056791	-0.99839	3.7602
-0.026337	-0.044216	0.35816	-3.2089	0.067248	-0.99774	-1.0757
-0.050605	-0.24695	-0.48233	-3.2322	0.090446	-0.9959	3.0161
-0.04758	0.16745	0.48523	-3.2344	0.092712	-0.99569	0.58993
-0.036767	0.2294	0.4341	-3.1935	0.051923	-0.99865	0.32574
-0.03047	0.24314	0.46256	-3.1354	-0.0062216	-0.99998	-1.9377
0.0084699	-0.045148	-0.42602	-3.1438	0.0022484	-1	3.4769
0.027911	0.50445	1.2511	-3.1045	-0.037121	-0.99931	-2.9612
0.063053	0.060418	0.23013	-3.0357	-0.10572	-0.9944	-3.4071
0.024078	-0.41661	-0.93458	-3.0551	-0.086431	-0.99626	-1.4893
-0.023974	-0.62001	-1.5431	-3.1775	0.035887	-0.99936	5.7211
-0.038786	0.23539	0.83975	-3.2183	0.076596	-0.99706	-1.2363
-0.0075819	0.022327	-0.028265	-3.1697	0.028058	-0.99961	1.4283
-0.010309	0.22426	0.46908	-3.1735	0.03188	-0.99949	0.064093
0.020591	0.22448	0.52084	-3.1088	-0.032765	-0.99946	-1.9097
-0.004741	-0.057068	-0.20349	-3.0921	-0.049501	-0.99877	-1.8781
0.0025599	-0.35253	-0.9765	-3.1554	0.013774	-0.99991	4.4919
0.0089902	0.35935	1.0413	-3.1498	0.0081919	-0.99997	-2.1799
0.028248	0.034319	0.14187	-3.1013	-0.040305	-0.99919	-1.5628
0.0068035	-0.19628	-0.37747	-3.1011	-0.04048	-0.99918	-1.4115
-0.010611	-0.39496	-0.99576	-3.1725	0.030883	-0.99952	4.3401
-0.019562	0.28379	0.86833	-3.1821	0.040506	-0.99918	-1.6826
-0.027705	-0.018416	0.0024604	-3.1565	0.014948	-0.99989	-0.77116
-0.0035413	-0.12294	-0.36925	-3.1582	0.016652	-0.99986	2.0368
-0.0069681	0.18615	0.52958	-3.152	0.010393	-0.99995	-1.4885
