x	v	dtheta	theta
0.19959	0.50414	-1.1945	0.0064893
0.20461	-1.0416	3.3568	0.12006
0.011049	-2.1161	5.3736	0.58271
-0.093719	-0.52725	-0.090281	0.85381
-0.13103	0.3336	-3.9787	0.63361
0.0080611	2.1683	-10.05	-0.06895
0.23393	2.3016	-8.9658	-1.0719
0.38602	0.71214	-5.35	-1.7724
0.39013	-0.47658	-4.1284	-2.1986
0.29076	-1.5163	-4.5303	-2.6159
0.17509	-0.96189	-2.0368	-2.9302
0.079901	-0.77948	-1.2105	-3.1088
0.00034572	-0.58401	-0.60894	-3.2119
-0.041458	-0.49748	-0.65188	-3.2741
-0.040085	-0.025307	0.30078	-3.2667
-0.052929	0.11424	0.39804	-3.2514
-0.031995	0.25661	0.55906	-3.2028
-0.0027454	0.28897	0.53807	-3.1547
0.019708	0.24081	0.51855	-3.0916
0.019056	-0.12837	-0.39991	-3.0779
-0.0032336	-0.25545	-0.72231	-3.1506
-0.013671	0.22082	0.64309	-3.1646
0.006625	-0.0093312	-0.012755	-3.1135
0.001795	-0.18741	-0.50847	-3.135
-0.014364	0.012025	0.099352	-3.163
-0.010609	-0.046667	-0.14903	-3.1731
0.003157	0.19735	0.51642	-3.143
0.0097283	-0.024209	-0.039818	-3.116
-0.00040476	-0.15375	-0.47704	-3.1554
-0.0033374	0.25936	0.72323	-3.1232
0.0024973	-0.1733	-0.48392	-3.1221
0.000244	-0.079812	-0.11128	-3.1506
-0.0039975	-0.045592	-0.1014	-3.1566
-0.024038	0.045006	0.1012	-3.1569
-0.0023258	-0.052606	-0.25267	-3.1748
-0.0093473	0.38819	1.0488	-3.127
0.018023	-0.093128	-0.30717	-3.0886
0.00098837	-0.19693	-0.54241	-3.141
0.016021	0.080579	0.32464	-3.142
-0.0032868	-0.05701	-0.09634	-3.1576
