x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.071761	0.0043572	0.096336	0.065241	0.065195	0.99787	4.0233
-0.061249	0.68102	-2.0864	-0.017428	-0.017427	0.99985	-9.9997
-0.084293	-0.94032	2.8735	0.020238	0.020236	0.9998	-9.6704
-0.23219	-2.1755	5.7522	0.49804	0.47771	0.87852	9.9085
-0.36158	-0.53484	0.097691	0.77616	0.70055	0.71361	8.0117
-0.35275	0.79733	-4.8538	0.54259	0.51636	0.85637	9.9029
-0.17873	2.4918	-10.243	-0.2618	-0.25882	0.96593	7.9562
0.070804	2.371	-8.199	-1.1904	-0.92852	0.37128	-9.0721
0.21954	0.92761	-5.0751	-1.8379	-0.96454	-0.26392	-9.9166
0.26407	-0.24828	-4.1907	-2.277	-0.76085	-0.64893	-6.0716
0.19468	-0.95907	-4.0841	-2.6975	-0.42966	-0.90299	6.8653
0.17425	0.21483	0.16055	-2.8867	-0.25214	-0.96769	-4.67
0.16542	-0.37155	-0.79936	-2.8873	-0.2516	-0.96783	-4.6039
0.090832	-0.98897	-2.1615	-3.0385	-0.10295	-0.99469	3.5949
0.014376	-0.42049	-0.36385	-3.1951	0.05351	-0.99857	0.65748
-0.0089807	-0.3422	-0.27526	-3.1997	0.058051	-0.99831	0.15364
-0.050559	-0.34634	-0.59729	-3.2511	0.10931	-0.99401	3.5615
-0.056122	0.14011	0.53112	-3.2595	0.11767	-0.99305	0.69839
-0.039397	0.20369	0.4681	-3.2214	0.079712	-0.99682	0.86361
-0.029642	0.31223	0.68455	-3.1362	-0.0054043	-0.99999	-2.4571
0.00080895	-0.086182	-0.44262	-3.1456	0.0040084	-0.99999	2.8008
0.0041039	0.37898	0.93626	-3.1092	-0.032343	-0.99948	-3.0622
0.013823	-0.073379	-0.29321	-3.0821	-0.059476	-0.99823	-1.1391
0.026977	-0.24079	-0.66692	-3.1245	-0.017133	-0.99985	2.6345
-0.011218	0.17863	0.59744	-3.119	-0.022632	-0.99974	-3.2549
0.001592	-0.3223	-0.87891	-3.1375	-0.0040433	-0.99999	3.017
-0.014399	0.12583	0.42115	-3.1676	0.026041	-0.99966	-1.0476
0.00697	-0.028581	-0.12464	-3.1356	-0.0060275	-0.99998	0.47733
-0.014819	0.023778	0.029851	-3.1662	0.024649	-0.9997	0.51384
0.018656	0.11207	0.19115	-3.1524	0.010778	-0.99994	0.94179
0.019696	0.26408	0.70068	-3.1025	-0.039079	-0.99924	-2.7432
0.0094604	-0.15081	-0.39815	-3.0856	-0.055984	-0.99843	-1.3266
0.00070891	-0.34467	-0.9052	-3.1402	-0.0013758	-1	3.028
-0.0062608	0.11282	0.38831	-3.1665	0.0249	-0.99969	-0.7412
-0.0048013	-0.012611	-0.062173	-3.1534	0.011803	-0.99993	0.57179
-0.012504	0.082432	0.12239	-3.1654	0.0238	-0.99972	0.56557
-0.0022968	0.16675	0.34714	-3.1456	0.0039681	-0.99999	-0.63764
0.024639	0.063125	0.16001	-3.114	-0.027576	-0.99962	-0.93144
0.018958	-0.070161	-0.15229	-3.1282	-0.013414	-0.99991	0.27868
0.011119	-0.0019178	0.10067	-3.1185	-0.023046	-0.99973	-1.5374
