x	v	dtheta	theta
0.051079	0.078174	-0.03218	-0.090066
0.081849	0.47475	-0.84823	-0.12757
0.042014	-1.0802	4.0937	0.032599
-0.10649	-1.8841	5.5385	0.54195
-0.19795	-0.36177	0.19411	0.81177
-0.2187	0.60319	-3.9092	0.63835
-0.061955	2.4247	-9.9565	-0.053403
0.18701	2.5746	-8.9578	-1.0545
0.37676	0.94877	-5.3025	-1.717
0.42668	-0.21557	-3.9856	-2.1888
0.32398	-1.1792	-4.1167	-2.5708
0.26781	-0.59945	-1.3816	-2.8542
0.19575	-0.53476	-0.49622	-2.9486
0.12379	-0.98958	-1.3449	-3.0491
0.024242	-1.1072	-1.6327	-3.1704
-0.077833	-0.98647	-1.6302	-3.3408
-0.1252	-0.15623	0.1396	-3.415
-0.12231	0.3481	0.88438	-3.3523
-0.086641	0.55026	0.92257	-3.2466
-0.038923	0.62865	0.94818	-3.1827
0.039785	0.71183	1.2343	-3.0694
0.10641	0.39964	0.58054	-2.9684
0.10439	-0.095692	-0.37851	-2.9786
0.086445	-0.39268	-0.88961	-3.049
0.035888	-0.19627	-0.062795	-3.0724
0.018704	-0.72924	-1.6244	-3.1549
-0.010611	0.09674	0.69034	-3.2278
-0.023198	0.01372	0.27935	-3.1683
-0.014618	-0.26491	-0.59058	-3.1917
-0.020656	0.24144	0.73895	-3.1814
-0.022024	-0.027627	0.011091	-3.1433
-0.021688	-0.21786	-0.63987	-3.1672
-0.019325	0.22173	0.57319	-3.1364
-0.021587	-0.15304	-0.60759	-3.1565
-0.019118	0.26777	0.6067	-3.1741
0.0065066	0.19451	0.3003	-3.1176
0.0033508	0.04046	-0.033883	-3.1154
0.016219	-0.033707	-0.18957	-3.1331
0.028909	0.18984	0.47559	-3.115
0.056324	-0.014733	-0.064195	-3.0789
0.02934	-0.12222	-0.16142	-3.0972
