x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.024118	-0.093606	0.0034002	-0.17203	-0.17119	0.98524	4.5643
0.026258	0.51551	-1.1939	-0.24006	-0.23776	0.97132	-10
-0.036224	-1.1696	4.3313	-0.093558	-0.093421	0.99563	-7.4106
-0.19059	-2.0594	6.3862	0.48906	0.4698	0.88278	9.5591
-0.30974	-0.46143	0.82094	0.84757	0.74967	0.66181	8.3394
-0.30105	0.82021	-3.9779	0.69841	0.643	0.76586	9.9772
-0.14573	2.6932	-10.137	-0.019264	-0.019263	0.99981	8.0476
0.15838	2.7811	-9.079	-1.035	-0.85987	0.51051	-9.4362
0.36135	1.1346	-5.3137	-1.7283	-0.98762	-0.15684	-10
0.4072	-0.047206	-3.9049	-2.1783	-0.82107	-0.57083	-8.6462
0.34522	-1.0247	-3.9872	-2.549	-0.55848	-0.82952	3.4093
0.29006	-0.40038	-0.98838	-2.7935	-0.34113	-0.94002	-3.8542
0.20818	-0.82629	-1.4211	-2.9123	-0.22731	-0.97382	-1.9832
0.14542	-1.0474	-1.6075	-3.0459	-0.095556	-0.99542	0.95121
0.018354	-0.87668	-1.0547	-3.1844	0.042808	-0.99908	-0.053852
-0.072567	-0.93535	-1.5235	-3.3169	0.17439	-0.98468	5.3767
-0.13422	-0.21916	-0.078913	-3.3904	0.24621	-0.96922	3.7508
-0.11082	0.25211	0.52326	-3.3879	0.24379	-0.96983	5.1915
-0.049981	0.95671	2.1218	-3.2445	0.10275	-0.99471	-1.2916
0.024822	0.75357	1.4301	-3.0641	-0.077396	-0.997	-3.2949
0.056145	0.25993	0.42359	-2.9785	-0.16235	-0.98673	-5.014
0.074048	-0.40099	-1.2029	-3.0336	-0.1078	-0.99417	2.4673
0.047691	0.014953	0.42333	-3.0429	-0.098488	-0.99514	-4.626
0.014506	-0.65688	-1.3735	-3.1139	-0.027677	-0.99962	1.8182
-0.024575	-0.37056	-0.52828	-3.1907	0.049047	-0.9988	0.66716
-0.061373	-0.28744	-0.52669	-3.2569	0.11501	-0.99336	3.5968
-0.061178	0.2083	0.71331	-3.2253	0.083608	-0.9965	-1.2441
-0.053799	-0.030988	-0.24501	-3.2167	0.075028	-0.99718	3.0839
-0.053488	0.41811	0.95643	-3.1812	0.039582	-0.99922	-1.9797
-0.014883	0.11893	-0.040086	-3.1336	-0.0080377	-0.99997	0.80022
0.0096113	0.23974	0.41824	-3.1171	-0.024538	-0.9997	-1.1398
0.016587	0.094277	0.080773	-3.0909	-0.050709	-0.99871	-1.3616
0.0089912	-0.11244	-0.37448	-3.1126	-0.028991	-0.99958	0.38892
-0.010205	-0.050065	-0.069905	-3.133	-0.0086398	-0.99996	-1.0462
0.011275	-0.21614	-0.55569	-3.1512	0.0095698	-0.99995	2.6764
0.0037581	0.21288	0.6226	-3.1756	0.033998	-0.99942	-0.51349
0.012034	0.14717	0.45833	-3.113	-0.028548	-0.99959	-2.3761
0.02306	-0.19989	-0.44283	-3.0978	-0.043814	-0.99904	-0.41249
-0.0087877	-0.25589	-0.5245	-3.149	0.0074517	-0.99997	0.80523
-0.013339	-0.15187	-0.25759	-3.1913	0.049643	-0.99877	1.8779
