x	v	dtheta	theta
-0.13377	0.069387	-0.05625	-0.046101
-0.06926	0.59631	-1.4462	-0.13546
-0.097716	-1.0362	3.8291	-0.021085
-0.26217	-1.9156	5.742	0.50717
-0.34713	-0.34436	0.19872	0.78575
-0.35315	0.85406	-4.433	0.5593
-0.16232	2.5879	-10.142	-0.17559
0.086112	2.5744	-8.4251	-1.1466
0.26794	1.0465	-5.0682	-1.8025
0.29438	-0.12128	-3.8893	-2.2305
0.25982	-1.1119	-4.1793	-2.6018
0.1667	-0.50013	-1.3829	-2.8944
0.13499	-0.56673	-1.0832	-3.0111
0.074384	-0.45641	-0.42154	-3.0846
0.011137	-0.72965	-1.1983	-3.1462
-0.068505	-0.6569	-1.1862	-3.2685
-0.091191	-0.037799	0.14531	-3.3155
-0.088786	0.2631	0.56748	-3.2917
-0.060329	0.52688	1.0163	-3.209
-0.002753	0.40833	0.61263	-3.1197
0.030459	0.27759	0.28807	-3.0861
0.067998	0.24967	0.37668	-3.0518
0.065431	0.027609	0.06399	-3.0324
0.055738	-0.36237	-0.84393	-3.0804
0.019553	-0.13406	-0.015929	-3.1225
0.013721	-0.40329	-0.74355	-3.1599
-0.0019951	-0.04861	0.18762	-3.1882
-0.025007	-0.065487	0.026221	-3.1737
-0.018937	-0.17367	-0.39748	-3.1899
-0.018746	0.17407	0.56397	-3.1765
-0.024273	-0.0080364	-0.13089	-3.1498
-0.016492	0.01646	-0.14455	-3.1845
-0.0012357	0.43738	1.0899	-3.1359
0.020722	0.08447	0.079835	-3.0529
0.018477	-0.39921	-1.0961	-3.1229
0.0056791	0.24577	0.75929	-3.1156
0.0080195	-0.24952	-0.59069	-3.1241
-0.013715	-0.086272	-0.16275	-3.1674
-0.022475	0.014832	0.065971	-3.1576
-0.03279	-0.098756	-0.35634	-3.1693
-0.038383	0.12185	0.16762	-3.2158
