x	v	dtheta	theta
-0.068609	0.49838	-1.8089	-0.12034
-0.11214	-1.1321	3.4394	-0.02864
-0.27585	-2.1686	5.914	0.46405
-0.40678	-0.52816	0.2314	0.76447
-0.39689	0.85447	-4.8421	0.55373
-0.22536	2.4991	-10.166	-0.24818
0.014977	2.4618	-8.2707	-1.1772
0.2064	1.016	-5.1229	-1.8345
0.24713	-0.15293	-4.2663	-2.3045
0.19518	-0.54769	-3.3726	-2.6709
0.19648	0.42088	0.42978	-2.7987
0.186	-0.46425	-1.2201	-2.8535
0.1279	-0.93476	-1.8714	-3.0019
0.053833	-0.64767	-0.80566	-3.1191
-0.035193	-0.75853	-1.2794	-3.2116
-0.076751	-0.50073	-0.79692	-3.323
-0.086527	0.26987	0.8264	-3.3329
-0.062053	0.4781	1.0477	-3.2382
-0.027011	0.40634	0.672	-3.1443
0.011269	0.22447	0.22977	-3.1028
0.022802	0.1707	0.15877	-3.0898
0.028737	0.07735	0.048707	-3.0636
0.025173	-0.22244	-0.71582	-3.1158
0.025986	0.22141	0.75469	-3.1073
0.011863	-0.21356	-0.39947	-3.0715
0.0004004	-0.63377	-1.6088	-3.161
-0.012052	0.34397	1.0435	-3.223
-0.00072549	0.23929	0.68152	-3.1353
0.012671	-0.10214	-0.26435	-3.0982
-0.0096415	-0.25674	-0.69876	-3.1636
-0.0081014	0.2315	0.69241	-3.1592
-0.0084479	-0.028697	-0.10599	-3.1332
0.015677	-0.10336	-0.26621	-3.1508
-0.0033166	0.17524	0.58013	-3.1335
-0.019227	-0.1855	-0.5194	-3.1126
-0.010605	-0.31874	-0.88161	-3.1843
-0.027557	0.47277	1.1847	-3.1696
0.013395	0.078445	0.079647	-3.1199
0.014509	0.049983	0.013807	-3.1124
0.03755	-0.017012	-0.083646	-3.1219
