x	v	dtheta	theta
0.13699	0.4648	-1.188	-0.11306
0.093085	-1.1568	3.906	0.034829
-0.062802	-1.9735	5.4499	0.52873
-0.18048	-0.48493	0.1158	0.81504
-0.16162	0.53522	-4.1579	0.60016
-0.045442	2.3561	-10.052	-0.12247
0.22144	2.4294	-8.6656	-1.1151
0.37809	0.84957	-5.1482	-1.7705
0.38938	-0.32468	-3.9378	-2.2117
0.31194	-1.3642	-4.2129	-2.6124
0.19611	-0.78282	-1.5057	-2.8882
0.11406	-1.093	-1.9601	-3.0545
0.028947	-0.71982	-0.79328	-3.182
-0.044003	-0.69919	-0.98614	-3.2602
-0.10089	-0.41021	-0.49982	-3.3141
-0.12786	-0.073106	-0.24339	-3.3676
-0.083758	0.80503	1.6647	-3.3023
-0.017884	0.78825	1.4199	-3.1615
0.074038	0.63658	1.1324	-3.0446
0.096761	0.3182	0.61338	-2.9653
0.080059	-0.32585	-0.71131	-2.9722
0.041009	-0.868	-1.928	-3.0838
-0.00043536	-0.31857	-0.31924	-3.2083
-0.034861	-0.094073	0.14323	-3.1949
-0.044373	-0.31284	-0.71225	-3.2258
-0.052937	0.29129	0.78563	-3.2144
-0.024463	0.077214	-0.0066911	-3.192
-0.014108	0.43189	0.97623	-3.1224
0.025618	0.0018644	-0.28362	-3.1047
0.014938	0.25242	0.61056	-3.1019
0.035371	-0.1147	-0.33284	-3.0907
0.023053	-0.089276	-0.10448	-3.1086
-0.0029051	-0.25761	-0.48856	-3.133
-0.0031468	-0.26754	-0.62144	-3.1903
-0.013997	0.33848	1.0306	-3.1552
-0.022801	-0.10255	-0.20126	-3.1323
-0.053237	-0.292	-0.82524	-3.1645
-0.052976	-0.025503	-0.15985	-3.2077
-0.049717	0.24228	0.45493	-3.2098
-0.01191	0.32051	0.50641	-3.1731
