x	v	dtheta	theta
0.0014231	0.003803	0.011181	-0.072181
0.02644	0.54949	-1.2619	-0.12705
0.014732	-1.1009	3.9779	-0.0062501
-0.16146	-1.9079	5.5676	0.51618
-0.27943	-0.38039	0.18376	0.77671
-0.24323	0.75202	-4.2922	0.58803
-0.07504	2.5074	-10.082	-0.15688
0.18068	2.5513	-8.5062	-1.1285
0.34273	0.975	-5.0459	-1.7625
0.37558	-0.18473	-3.7957	-2.2185
0.3181	-1.1779	-4.0028	-2.5826
0.2088	-0.70255	-1.5054	-2.8404
0.10787	-1.2154	-2.2972	-3.0249
0.021324	-0.92496	-1.4831	-3.2121
-0.052126	-0.31309	0.0051812	-3.2926
-0.075908	-0.2416	-0.18413	-3.2887
-0.079007	0.0084937	0.082743	-3.2928
-0.06091	0.42726	0.93858	-3.2671
-0.012399	0.5615	1.1117	-3.146
0.031023	0.30411	0.44503	-3.0599
0.046364	-0.033387	-0.3397	-3.0728
0.031742	0.10742	0.28522	-3.0729
0.038677	-0.29703	-0.69152	-3.0784
0.023426	-0.26534	-0.58668	-3.1614
0.0093167	0.23438	0.9049	-3.1284
-0.0029428	-0.24309	-0.50335	-3.114
-0.0096684	-0.3544	-0.89793	-3.1935
-0.02029	0.4162	1.3066	-3.191
0.01129	0.069972	0.34526	-3.0838
-0.044853	-0.47783	-1.1529	-3.1157
-0.068307	-0.53254	-1.481	-3.2444
-0.042477	0.58615	1.5048	-3.251
-0.019308	0.42284	0.84522	-3.1396
0.021206	0.15072	0.067425	-3.1077
0.029123	0.23084	0.50529	-3.0662
0.040323	-0.2223	-0.63931	-3.0788
0.028484	-0.072764	-0.037624	-3.1165
0.012725	-0.17305	-0.3214	-3.1265
-0.020716	-0.19471	-0.32804	-3.1654
-0.021754	-0.15722	-0.3029	-3.1757
-0.030215	-0.0077322	-0.046454	-3.1798
