x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.19226	-0.085531	0.049286	0.095539	0.095393	0.99544	4.4084
-0.14292	0.65252	-2.3677	0.01189	0.011889	0.99993	-9.8897
-0.16571	-0.94824	2.582	0.0045777	0.0045777	0.99999	-9.9033
-0.34694	-2.2471	5.8211	0.45128	0.43611	0.89989	9.9255
-0.46617	-0.59943	0.080217	0.72477	0.66296	0.74865	8.7435
-0.45773	0.85638	-5.1546	0.49149	0.47194	0.88163	9.5337
-0.293	2.4097	-10.044	-0.29717	-0.29282	0.95617	8.999
-0.035035	2.4123	-8.0898	-1.2501	-0.94902	0.31521	-9.8045
0.10594	0.8954	-5.1636	-1.8888	-0.94988	-0.31263	-9.771
0.12913	-0.27288	-4.5114	-2.3495	-0.71184	-0.70234	-4.7162
0.092758	-0.86134	-4.3711	-2.7765	-0.35703	-0.93409	8.9257
0.079605	0.61206	0.61318	-2.961	-0.17965	-0.98373	-2.9792
0.12103	0.23923	0.12551	-2.9428	-0.19746	-0.98031	-3.3421
0.14204	-0.16027	-0.48666	-2.9394	-0.20077	-0.97964	-2.8809
0.075978	-0.50932	-1.0797	-3.0206	-0.12074	-0.99268	-1.0339
0.025306	-0.63151	-1.2848	-3.1367	-0.0048781	-0.99999	3.1562
-0.011763	-0.14561	0.069351	-3.193	0.051348	-0.99868	-0.44999
-0.031029	-0.25951	-0.42952	-3.2083	0.066677	-0.99777	1.9903
-0.020169	0.014619	0.17642	-3.2266	0.084872	-0.99639	1.7977
-0.031551	0.26671	0.6968	-3.1762	0.03459	-0.9994	-1.5181
-0.018459	0.0099017	-0.12977	-3.1546	0.013003	-0.99992	0.96633
0.0010884	0.14917	0.24435	-3.1463	0.0047534	-0.99999	0.061441
0.0044908	0.17483	0.30183	-3.1139	-0.027639	-0.99962	-1.3745
0.037213	-0.045758	-0.24527	-3.1084	-0.033206	-0.99945	1.1404
0.028579	0.15176	0.40447	-3.1189	-0.022663	-0.99974	-1.2535
0.042126	-0.029246	0.013416	-3.097	-0.044611	-0.999	-1.0755
0.036573	-0.16568	-0.32824	-3.1082	-0.033414	-0.99944	0.20095
0.02028	-0.12307	-0.085584	-3.12	-0.021639	-0.99977	-1.2124
0.0010808	-0.3003	-0.6278	-3.1534	0.011841	-0.99993	1.7726
-0.025734	-0.044683	0.06195	-3.1861	0.044469	-0.99901	-0.09268
-0.030194	-0.077272	-0.21232	-3.1982	0.056551	-0.9984	2.1625
-0.042106	0.23378	0.58609	-3.174	0.032414	-0.99947	-1.616
-0.0095125	-0.031942	-0.22981	-3.1555	0.013916	-0.9999	1.6818
-0.016156	0.20478	0.51996	-3.1403	-0.0012492	-1	-2.0054
0.006258	-0.089077	-0.44131	-3.1439	0.0022732	-1	2.8828
-0.016138	0.3556	0.944	-3.1225	-0.019078	-0.99982	-3.3336
0.027482	-0.13516	-0.42503	-3.1026	-0.039027	-0.99924	0.77889
0.021572	0.0082435	0.1459	-3.1006	-0.04103	-0.99916	-2.1274
-0.0024266	-0.30358	-0.7237	-3.1317	-0.0098648	-0.99995	1.2896
-0.032728	-0.11059	-0.16724	-3.1796	0.038026	-0.99928	0.28289
