x	v	dtheta	theta
-0.19226	-0.085531	0.049286	0.095539
-0.14292	0.65252	-2.3677	0.01189
-0.16571	-0.94824	2.582	0.0045777
-0.34694	-2.2471	5.8211	0.45128
-0.46617	-0.59943	0.080217	0.72477
-0.45773	0.85638	-5.1546	0.49149
-0.293	2.4097	-10.044	-0.29717
-0.035035	2.4123	-8.0898	-1.2501
0.10594	0.8954	-5.1636	-1.8888
0.12913	-0.27288	-4.5114	-2.3495
0.092758	-0.86134	-4.3711	-2.7765
0.079605	0.61206	0.61318	-2.961
0.12103	0.23923	0.12551	-2.9428
0.14204	-0.16027	-0.48666	-2.9394
0.075978	-0.50932	-1.0797	-3.0206
0.025306	-0.63151	-1.2848	-3.1367
-0.011763	-0.14561	0.069351	-3.193
-0.031029	-0.25951	-0.42952	-3.2083
-0.020169	0.014619	0.17642	-3.2266
-0.031551	0.26671	0.6968	-3.1762
-0.018459	0.0099017	-0.12977	-3.1546
0.0010884	0.14917	0.24435	-3.1463
0.0044908	0.17483	0.30183	-3.1139
0.037213	-0.045758	-0.24527	-3.1084
0.028579	0.15176	0.40447	-3.1189
0.042126	-0.029246	0.013416	-3.097
0.036573	-0.16568	-0.32824	-3.1082
0.02028	-0.12307	-0.085584	-3.12
0.0010808	-0.3003	-0.6278	-3.1534
-0.025734	-0.044683	0.06195	-3.1861
-0.030194	-0.077272	-0.21232	-3.1982
-0.042106	0.23378	0.58609	-3.174
-0.0095125	-0.031942	-0.22981	-3.1555
-0.016156	0.20478	0.51996	-3.1403
0.006258	-0.089077	-0.44131	-3.1439
-0.016138	0.3556	0.944	-3.1225
0.027482	-0.13516	-0.42503	-3.1026
0.021572	0.0082435	0.1459	-3.1006
-0.0024266	-0.30358	-0.7237	-3.1317
-0.032728	-0.11059	-0.16724	-3.1796
-0.028004	-0.083342	-0.20721	-3.2028
