x	v	dtheta	theta
-0.073131	-0.0013757	0.027583	0.10452
-0.047266	0.67154	-2.247	0.017186
-0.050191	-0.94313	2.7134	0.0014996
-0.2107	-2.1958	5.7505	0.46103
-0.35688	-0.58169	0.14771	0.74619
-0.35955	0.77023	-4.8455	0.52978
-0.17043	2.4477	-10.195	-0.26803
0.063828	2.3751	-8.1945	-1.2093
0.22302	0.86848	-5.0987	-1.8505
0.25695	-0.30363	-4.1897	-2.2977
0.1778	-0.97603	-4.0335	-2.6817
0.13549	-0.062025	-0.64977	-2.947
0.11274	-0.01139	0.16777	-2.9527
0.081062	-0.7447	-1.4757	-3.0107
-0.008389	-0.88071	-1.7468	-3.1627
-0.062488	-0.36885	-0.44946	-3.2789
-0.081547	-0.010644	0.21276	-3.2895
-0.076211	0.16087	0.41024	-3.266
-0.042485	0.35084	0.70393	-3.1604
-0.020939	0.064862	-0.2657	-3.1878
0.02901	0.78568	1.8599	-3.1151
0.079205	0.37298	1.0334	-2.9564
0.061288	-0.45811	-0.79651	-2.9513
-0.0097637	-1.3229	-3.1207	-3.1361
-0.10175	-0.27499	-0.13717	-3.2943
-0.13208	-0.26124	-0.65661	-3.3352
-0.10318	0.55334	1.2254	-3.3007
-0.067207	0.54393	0.89119	-3.2008
-0.0052044	0.54064	0.77801	-3.1227
0.054096	0.46817	0.77639	-3.0433
0.05914	0.1092	0.070894	-3.0138
0.080715	-0.32088	-0.80208	-3.0498
0.055058	-0.10918	0.040071	-3.068
0.0071901	-0.5095	-1.0485	-3.1245
-0.0083853	-0.34199	-0.58571	-3.2176
-0.051938	0.21342	0.84925	-3.1837
-0.040351	-0.2913	-0.73214	-3.194
-0.04573	0.19194	0.54267	-3.2249
-0.010293	0.18386	0.46089	-3.1656
-0.0075402	0.084967	0.2178	-3.1156
-0.01989	-0.2416	-0.74181	-3.1419
