x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.072833	-0.044158	-0.13961	-0.14968	-0.14912	0.98882	4.2162
-0.095173	0.513	-1.175	-0.23142	-0.22936	0.97334	-9.9864
-0.10876	-1.1762	4.3358	-0.073248	-0.073182	0.99732	-7.5926
-0.28479	-2.0749	6.4393	0.51179	0.48974	0.87187	9.9209
-0.43164	-0.43242	0.78954	0.8593	0.75739	0.65297	8.9434
-0.37922	0.89937	-4.1698	0.67836	0.62752	0.7786	9.7566
-0.20828	2.7629	-10.234	-0.046897	-0.04688	0.9989	7.759
0.082339	2.7862	-8.9462	-1.0516	-0.86824	0.49614	-9.1354
0.25927	1.1772	-5.2588	-1.7196	-0.98894	-0.1483	-9.9859
0.33705	0.0018979	-3.8611	-2.18	-0.82009	-0.57223	-9.1631
0.28592	-1.0562	-4.1192	-2.5643	-0.54573	-0.83796	2.5322
0.20146	-0.54629	-1.5158	-2.8487	-0.28868	-0.95743	-1.8379
0.14779	-0.69863	-1.3069	-2.9732	-0.16762	-0.98585	-0.89615
0.081133	-0.79336	-1.2673	-3.1038	-0.037771	-0.99929	1.482
-0.0027857	-0.52636	-0.57193	-3.1958	0.054227	-0.99853	0.21616
-0.061637	-0.53773	-0.81227	-3.2521	0.11029	-0.9939	2.2369
-0.078827	-0.28301	-0.45037	-3.322	0.17947	-0.98376	5.2832
-0.082188	0.45912	1.1798	-3.3045	0.16216	-0.98676	0.48406
-0.040778	0.46234	0.97675	-3.1811	0.039454	-0.99922	-1.3611
-0.0016403	0.24819	0.30055	-3.1128	-0.028814	-0.99958	-0.7826
0.026005	0.12244	0.08328	-3.0962	-0.045333	-0.99897	-0.43881
0.022497	0.11094	0.09123	-3.0972	-0.04438	-0.99901	-0.72562
0.026655	0.014894	-0.025538	-3.1135	-0.028069	-0.99961	-0.069619
0.057474	0.0324	0.16907	-3.0718	-0.069713	-0.99757	-2.0134
0.025107	-0.24655	-0.46887	-3.087	-0.054608	-0.99851	-1.2863
-0.0085563	-0.42388	-0.97516	-3.166	0.024388	-0.9997	3.4369
-0.0089686	0.10482	0.46546	-3.1993	0.057639	-0.99834	-0.059578
-0.012012	0.056809	0.33075	-3.1496	0.0080541	-0.99997	-1.8497
-0.0065585	-0.24812	-0.60407	-3.1525	0.010919	-0.99994	1.9422
-0.029865	0.066793	0.16481	-3.1719	0.030341	-0.99954	-0.31285
-0.024319	-0.011477	-0.16426	-3.1777	0.03605	-0.99935	1.8849
-0.0088681	0.24435	0.5877	-3.1572	0.01564	-0.99988	-1.1223
0.016243	0.072045	0.022315	-3.1277	-0.013906	-0.9999	0.55336
-0.0013843	0.16083	0.32165	-3.126	-0.015578	-0.99988	-1.3413
0.020995	-0.02616	-0.16563	-3.1177	-0.023848	-0.99972	0.53214
0.021881	0.089428	0.22551	-3.1264	-0.015171	-0.99988	-0.63853
0.030574	-0.0055453	0.16324	-3.0939	-0.047635	-0.99886	-2.331
0.0089255	-0.32093	-0.73169	-3.1072	-0.034342	-0.99941	0.27569
-0.027151	-0.29355	-0.61579	-3.1835	0.041889	-0.99912	2.0885
-0.025351	0.0088425	0.1277	-3.1871	0.04548	-0.99897	0.12273
