x	v	dtheta	theta	sin(theta)	cos(theta)	u
0.04387	0.064723	0.039522	0.14169	0.14122	0.98998	3.3965
0.0984	0.64687	-2.0626	0.046913	0.046896	0.9989	-10
0.056017	-0.92812	2.6504	0.057704	0.057672	0.99834	-9.9226
-0.07604	-2.1606	5.5008	0.50093	0.48024	0.87714	9.4833
-0.19927	-0.60937	0.0093549	0.76806	0.69474	0.71926	6.8244
-0.21674	0.55159	-4.5821	0.53908	0.51335	0.85818	10
-0.074855	2.3038	-10.113	-0.22111	-0.21931	0.97565	8.3814
0.16751	2.274	-8.3466	-1.1455	-0.91092	0.41259	-8.442
0.31413	0.84841	-5.1287	-1.8149	-0.97035	-0.24172	-9.9872
0.32275	-0.33099	-4.191	-2.2773	-0.76065	-0.64917	-5.1192
0.27785	-0.90909	-3.7154	-2.654	-0.46846	-0.88348	5.8178
0.2282	0.1191	0.16678	-2.8273	-0.30914	-0.95102	-6.2292
0.20666	-0.67011	-1.2606	-2.8791	-0.25948	-0.96575	-3.2964
0.11866	-1.0856	-1.9161	-3.0323	-0.10903	-0.99404	0.95726
0.040604	-0.89707	-1.3193	-3.2023	0.06068	-0.99816	3.6701
-0.039807	-0.37679	0.0085395	-3.2481	0.10629	-0.99434	-1.12
-0.090296	-0.60006	-1.1159	-3.3065	0.16412	-0.98644	5.5286
-0.10907	0.13337	0.54382	-3.3273	0.18468	-0.9828	1.419
-0.10305	0.26912	0.40097	-3.3009	0.15864	-0.98734	3.3561
-0.051195	0.73985	1.4514	-3.1978	0.056197	-0.99842	-1.1908
0.015092	0.53044	0.86148	-3.1035	-0.038048	-0.99928	-1.3624
0.057184	0.36829	0.60964	-3.0298	-0.11156	-0.99376	-3.0973
0.08409	-0.069045	-0.23484	-3.0031	-0.13801	-0.99043	-2.6617
0.046485	-0.40502	-0.94685	-3.0639	-0.077655	-0.99698	0.33358
0.011057	-0.33988	-0.61379	-3.1334	-0.008156	-0.99997	0.4572
-0.0059471	-0.272	-0.46731	-3.1998	0.058223	-0.9983	2.807
4.3424e-05	0.13275	0.61897	-3.1744	0.032844	-0.99946	-1.3686
-0.011079	-0.078188	-0.14778	-3.1393	-0.0022465	-1	-0.53078
-0.028565	-0.17238	-0.52225	-3.195	0.053413	-0.99857	3.5726
-0.00051441	0.36359	0.90902	-3.1774	0.035828	-0.99936	-0.86599
0.012162	0.22659	0.5351	-3.0959	-0.045665	-0.99896	-2.7235
0.00072022	-0.20301	-0.54294	-3.0962	-0.045408	-0.99897	-0.65768
-0.0040518	-0.27022	-0.8139	-3.179	0.03741	-0.9993	5.091
0.0032599	0.51123	1.446	-3.1395	-0.0020731	-1	-3.002
0.032262	0.062921	0.20278	-3.0613	-0.080254	-0.99677	-3.2018
0.0098731	-0.41808	-0.94656	-3.0905	-0.051072	-0.99869	-0.095025
-0.031813	-0.42197	-0.99171	-3.1996	0.057957	-0.99832	4.3557
-0.041858	0.23461	0.79227	-3.2083	0.066623	-0.99778	-1.4495
-0.021105	-0.013061	-0.021975	-3.1541	0.012551	-0.99992	-0.36977
-0.043889	-0.10923	-0.32382	-3.1793	0.037673	-0.99929	1.1802
