x	v	dtheta	theta
0.077023	0.45795	-1.707	-0.040303
0.024487	-1.1451	3.2769	0.026652
-0.16473	-2.1613	5.5887	0.5154
-0.27828	-0.56025	-0.021332	0.76356
-0.29525	0.68129	-4.7998	0.53039
-0.1092	2.3806	-10.184	-0.26202
0.11199	2.3167	-8.1884	-1.2144
0.28336	0.7709	-5.0405	-1.8248
0.27299	-0.38539	-4.1179	-2.2731
0.21791	-1.3022	-4.5184	-2.6851
0.13031	-0.28785	-0.82671	-2.95
0.088646	-0.47362	-0.98588	-3.0536
0.040894	-0.277	-0.16137	-3.1201
-0.00090877	-0.48598	-0.78886	-3.1468
-0.056086	-0.5265	-0.96458	-3.2386
-0.055361	-0.02581	0.041699	-3.2681
-0.054522	0.3417	0.89358	-3.2456
-0.019753	0.30436	0.58144	-3.1561
-0.004747	0.17288	0.13755	-3.1262
0.024248	0.15786	0.24787	-3.0925
0.036831	-0.046716	-0.30957	-3.1347
0.05467	0.45446	1.3095	-3.0586
0.067026	-0.11018	-0.027937	-2.9974
0.0075495	-0.83733	-1.8524	-3.0812
-0.050437	-0.62258	-1.321	-3.2711
-0.068534	0.39738	1.3578	-3.2547
-0.04219	0.063146	0.19011	-3.1712
-0.042914	-0.11488	-0.44876	-3.1743
-0.033952	0.18077	0.29954	-3.1854
-0.013539	0.27744	0.38049	-3.144
0.002599	0.25694	0.3956	-3.1184
0.026304	0.11173	0.10129	-3.1064
0.046106	0.09652	0.22168	-3.0866
0.03174	-0.10809	-0.1529	-3.09
0.028185	-0.30808	-0.66572	-3.1147
-0.013571	-0.11905	-0.12775	-3.1643
-0.012662	-0.15284	-0.28029	-3.1951
-0.014947	0.21427	0.68641	-3.1583
-0.0039851	-0.13438	-0.32366	-3.1363
-0.021996	-0.079872	-0.20497	-3.1672
