x	v	dtheta	theta
-0.16085	0.010169	-0.082835	-0.011348
-0.12157	0.65906	-1.8992	-0.099483
-0.14039	-0.98937	3.3909	-0.021923
-0.3057	-2.0871	5.9615	0.46021
-0.43288	-0.44995	0.3603	0.77942
-0.41889	0.89403	-4.6786	0.56125
-0.21301	2.6175	-10.203	-0.21291
0.044094	2.5837	-8.316	-1.1724
0.20963	1.0451	-5.0359	-1.8232
0.26614	-0.14612	-3.9778	-2.2167
0.20048	-1.2258	-4.5886	-2.6638
0.11292	-0.25276	-0.91109	-2.9232
0.081341	-0.60179	-1.4797	-3.0279
0.034889	-0.23621	-0.2597	-3.1429
0.029014	-0.16413	-0.056663	-3.1354
0.00081904	-0.29008	-0.48456	-3.1688
-0.028168	-0.10169	-0.0068948	-3.2004
-0.011022	-0.076812	-0.12382	-3.1829
-0.026036	0.12172	0.26912	-3.1794
-0.012271	0.11008	0.081712	-3.1937
0.014605	0.51354	1.2626	-3.1151
0.043124	0.062409	0.1881	-3.0522
0.031438	-0.38635	-0.89027	-3.0625
-0.012421	-0.46476	-1.1261	-3.1879
-0.007362	0.34942	1.1335	-3.1709
-0.0024818	-0.052135	0.024264	-3.1121
-0.04031	-0.3996	-1.0854	-3.1713
-0.048954	0.15682	0.47762	-3.2083
-0.026236	0.035791	-0.022944	-3.1822
-0.0041558	0.26295	0.51981	-3.1734
0.011693	0.31949	0.7418	-3.0971
0.019157	-0.15065	-0.3423	-3.0791
-0.0076246	-0.36334	-0.95798	-3.1521
-0.0060987	0.18708	0.67886	-3.1415
-0.016487	-0.21069	-0.52951	-3.1445
-0.029019	-0.087354	-0.16305	-3.165
-0.029847	-0.099775	-0.38689	-3.2181
-0.018633	0.58571	1.5115	-3.1516
0.011192	0.114	0.29206	-3.0631
0.0016145	-0.443	-1.1705	-3.1027
-0.019194	-0.1105	-0.20169	-3.183
