x	v	dtheta	theta
-0.024135	-0.10201	-0.080078	-0.1214
-0.0064132	0.47378	-1.3864	-0.20543
-0.055466	-1.1742	4.0537	-0.058031
-0.20996	-2.0671	6.1088	0.47739
-0.33185	-0.48375	0.5588	0.81087
-0.30717	0.8351	-4.319	0.62455
-0.1338	2.6435	-10.228	-0.12655
0.13797	2.5875	-8.5835	-1.109
0.31974	1.0501	-5.0725	-1.7582
0.36265	-0.11558	-3.8031	-2.201
0.29362	-1.1335	-4.0627	-2.5727
0.20133	-0.77891	-1.7903	-2.8704
0.11917	-0.83086	-1.4288	-3.025
0.036366	-0.79237	-1.1578	-3.1288
-0.064169	-0.85695	-1.5228	-3.2705
-0.097491	-0.2144	-0.10553	-3.354
-0.092561	0.28784	0.75479	-3.3256
-0.072401	0.5502	1.0665	-3.2419
-0.024719	0.52125	0.9543	-3.1232
0.031406	0.17857	0.066374	-3.0915
0.052036	0.27002	0.60872	-3.0462
0.056285	-0.18422	-0.51002	-3.0446
0.035449	-0.30703	-0.64658	-3.0856
0.015499	-0.33291	-0.69491	-3.1722
0.00016128	0.214	0.87819	-3.1492
-0.014301	-0.21178	-0.38427	-3.1503
-0.025519	-0.21769	-0.33595	-3.1467
-0.06001	-0.41657	-1.0894	-3.233
-0.037415	0.45418	1.1971	-3.2124
0.0068654	0.20446	0.31557	-3.1356
-0.0058493	0.17378	0.28419	-3.1183
0.0062117	-0.028818	-0.31519	-3.107
0.014842	0.078116	0.053826	-3.128
0.013556	0.14414	0.25203	-3.1051
0.028833	-0.088828	-0.33468	-3.1209
0.053943	0.19198	0.51974	-3.1045
0.047574	-0.005997	0.072297	-3.0949
0.04251	-0.12845	-0.21143	-3.0845
0.0058278	-0.31103	-0.63127	-3.1192
-0.015498	-0.31056	-0.72542	-3.2069
-0.011716	0.36608	1.1496	-3.1822
