x	v	dtheta	theta
0.17007	-0.065695	-0.15673	-0.054523
0.18873	0.38225	-1.2646	-0.12168
0.1519	-1.2351	3.8254	0.026305
-0.02341	-2.0317	5.442	0.52831
-0.1439	-0.51689	0.035154	0.78032
-0.15835	0.48321	-4.2103	0.55341
0.0054145	2.266	-9.919	-0.15239
0.24629	2.3407	-8.535	-1.1203
0.38392	0.81564	-5.0895	-1.778
0.41438	-0.36115	-3.8872	-2.2085
0.32232	-1.4026	-4.2044	-2.6033
0.20568	-0.8931	-1.7934	-2.9016
0.10622	-0.88166	-1.2515	-3.0234
0.01209	-1.284	-2.3341	-3.2227
-0.07234	-0.37747	-0.018345	-3.3358
-0.088415	-0.23988	-0.21669	-3.3468
-0.10394	0.35804	1.0257	-3.2815
-0.079063	0.13855	0.047026	-3.2442
-0.047647	0.59152	1.1359	-3.1747
0.0097668	0.36238	0.37908	-3.1181
0.05635	0.45525	0.93816	-3.0561
0.070598	0.080363	0.077296	-3.009
0.062891	-0.38892	-0.87609	-3.026
0.040197	-0.55601	-1.2808	-3.1392
-0.0016307	0.22647	1.0516	-3.1335
0.00098994	-0.33159	-0.65625	-3.1375
-0.033708	-0.22154	-0.39392	-3.1845
-0.042131	-0.12983	-0.24661	-3.2171
-0.052832	0.17069	0.45662	-3.2058
-0.025828	0.044687	-0.051537	-3.198
-0.0089049	0.43904	1.0437	-3.1295
0.010713	0.031603	-0.10788	-3.087
0.010715	-0.14361	-0.48348	-3.1421
0.014772	0.30179	0.83601	-3.0808
0.016545	-0.28506	-0.77025	-3.1118
0.0047109	0.0014485	0.16737	-3.137
-0.0073654	-0.17651	-0.43071	-3.1499
-0.02332	-0.013541	0.11445	-3.1701
-0.048369	-0.14288	-0.32816	-3.194
-0.021035	0.054532	0.10496	-3.2006
-0.012004	0.29795	0.7923	-3.1312
