x	v	dtheta	theta
-0.017142	-0.046616	-0.15375	0.017346
0.0036929	0.56298	-1.9402	-0.099917
-0.011932	-1.0761	3.2783	-0.027918
-0.20704	-2.138	5.8131	0.47552
-0.33317	-0.528	0.1891	0.75364
-0.30596	0.80081	-4.737	0.53427
-0.13031	2.4659	-10.143	-0.22937
0.1135	2.4265	-8.2294	-1.1882
0.28728	0.89582	-5.0597	-1.8358
0.30949	-0.24855	-4.0781	-2.2719
0.23993	-0.95348	-3.8642	-2.6632
0.20217	0.0026069	-0.15507	-2.8416
0.14403	-0.7428	-1.624	-2.9558
0.086502	-0.66309	-0.94504	-3.0686
0.0069748	-0.79632	-1.2993	-3.158
-0.058177	-0.65627	-1.1568	-3.298
-0.090898	0.16578	0.82843	-3.3087
-0.052573	0.066577	0.059786	-3.2745
-0.016744	0.70888	1.735	-3.1733
0.0089621	0.36203	0.71149	-3.0752
0.039396	-0.12902	-0.41178	-3.0647
0.011431	-0.19794	-0.40273	-3.0937
-0.0086082	-0.37893	-0.92195	-3.1411
-0.037538	-0.076446	-0.013264	-3.1878
-0.041673	-0.14189	-0.40621	-3.1925
-0.031112	0.16483	0.27626	-3.2106
-0.011525	0.42144	0.83332	-3.1613
0.0060109	0.26365	0.44102	-3.0957
0.033696	-0.0075753	-0.32356	-3.1002
0.044709	0.30033	0.75603	-3.0777
0.049716	-0.13228	-0.26071	-3.0494
0.036036	-0.43702	-1.0419	-3.1301
0.022578	0.18464	0.85708	-3.1301
0.0074636	-0.25184	-0.33313	-3.1042
-0.037671	-0.58525	-1.3377	-3.1787
-0.06413	-0.028569	0.051478	-3.2492
-0.058693	0.16561	0.36113	-3.2206
-0.042929	0.19608	0.25533	-3.1814
-0.0095365	0.2448	0.3187	-3.149
0.0090936	0.31979	0.49955	-3.1211
0.046652	0.2267	0.32199	-3.0784
