x	v	dtheta	theta
0.085147	-0.14103	0.024658	0.067018
0.095341	0.46367	-1.8809	-0.046919
0.065462	-1.1392	3.0488	0.034713
-0.12044	-2.2768	5.6033	0.50952
-0.26501	-0.63219	-0.065597	0.75057
-0.27646	0.61356	-4.8699	0.51109
-0.11382	2.2964	-10.191	-0.27589
0.11512	2.2399	-8.1569	-1.2129
0.27073	0.76514	-5.091	-1.8508
0.29292	-0.40349	-4.2721	-2.2958
0.20345	-1.0025	-3.8896	-2.7007
0.14037	-0.046111	-0.25002	-2.899
0.13115	-0.70922	-1.6676	-2.9916
0.099898	-0.24044	-0.047466	-3.0653
0.028577	-0.54319	-0.76102	-3.1109
-0.042934	-0.76771	-1.5175	-3.2253
-0.083768	-0.093825	0.10584	-3.3026
-0.080873	0.13437	0.37718	-3.2628
-0.0635	0.23534	0.33796	-3.2278
-0.034475	0.46529	0.7861	-3.1699
0.03234	0.37637	0.53179	-3.1152
0.039056	0.43249	0.85413	-3.065
0.064769	0.043775	-0.0098058	-3.0009
0.055466	-0.47198	-1.2159	-3.0661
0.027669	-0.066054	0.11855	-3.1341
0.019514	-0.23402	-0.29039	-3.1345
-0.0089285	-0.27087	-0.50133	-3.1726
-0.011248	-0.04084	0.06074	-3.1973
-0.017758	0.095381	0.38811	-3.1665
-0.016312	-0.10588	-0.30416	-3.1545
-0.020922	-0.00095628	0.00072517	-3.1829
-0.015287	0.16323	0.34581	-3.1639
0.0044518	0.096423	0.1707	-3.1373
0.0032483	0.069531	0.11874	-3.1119
0.0008573	-0.13452	-0.47706	-3.144
-0.0047182	0.21773	0.63956	-3.1403
0.0088699	-0.12927	-0.24511	-3.0886
-0.0063451	-0.44244	-1.1985	-3.1757
-0.03461	0.46259	1.3323	-3.1669
0.0078522	-0.006968	-0.098313	-3.0881
0.0079704	-0.28838	-0.8464	-3.1665
