x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.015623	0.06843	-0.030199	-0.054218	-0.054191	0.99853	3.3403
0.0063102	0.53992	-1.2104	-0.12485	-0.12453	0.99222	-9.9507
-0.021952	-1.1218	3.9747	0.015063	0.015062	0.99989	-7.3405
-0.18747	-1.933	5.6356	0.53818	0.51258	0.85864	9.6954
-0.28789	-0.34145	0.14069	0.78261	0.70513	0.70907	6.4199
-0.27166	0.74108	-4.2611	0.59111	0.55729	0.83032	10
-0.10717	2.5572	-10.135	-0.12002	-0.11973	0.99281	8.1029
0.16692	2.5487	-8.5829	-1.1065	-0.89413	0.4478	-9.2837
0.33505	0.98156	-5.1208	-1.7632	-0.98154	-0.19126	-9.9997
0.35816	-0.17096	-3.865	-2.202	-0.8073	-0.59014	-9.0065
0.30063	-1.2337	-4.2275	-2.5892	-0.5247	-0.85129	3.1375
0.21001	-0.62518	-1.4945	-2.8734	-0.26504	-0.96424	-1.1956
0.13909	-0.69821	-1.1458	-3.0065	-0.13467	-0.99089	-0.75499
0.063619	-0.77474	-1.0746	-3.1225	-0.019085	-0.99982	0.32518
-0.0044182	-0.71123	-0.99224	-3.2008	0.059215	-0.99825	1.3366
-0.056532	-0.5826	-0.90449	-3.3104	0.16796	-0.98579	5.4604
-0.077208	0.18876	0.81147	-3.314	0.17155	-0.98518	0.74166
-0.064818	0.23209	0.54677	-3.2518	0.10998	-0.99393	0.99526
-0.058492	0.34363	0.68013	-3.1736	0.031982	-0.99949	-1.5928
0.012066	0.061623	-0.19816	-3.1419	0.00033249	-1	2.9113
-0.010303	0.52952	1.1647	-3.1223	-0.019281	-0.99981	-2.8322
0.045675	0.10477	0.15086	-3.043	-0.098435	-0.99514	-2.8315
0.042092	-0.28193	-0.79771	-3.0832	-0.058387	-0.99829	1.6783
0.012616	0.012448	0.18529	-3.0974	-0.04414	-0.99903	-2.7538
-0.013901	-0.41314	-1.0105	-3.1523	0.01067	-0.99994	2.9651
-0.012499	0.045487	0.25118	-3.1942	0.052566	-0.99862	0.43659
-0.010228	0.093636	0.32048	-3.1622	0.020643	-0.99979	-0.8183
-0.011683	-0.039988	-0.10584	-3.1509	0.0092703	-0.99996	0.17065
0.0082936	-0.0039915	-0.061354	-3.1579	0.016259	-0.99987	1.4155
-0.0011602	0.19636	0.63368	-3.1253	-0.016322	-0.99987	-2.7586
0.0017166	-0.20891	-0.5713	-3.1212	-0.020419	-0.99979	0.90623
-0.023507	-0.073411	-0.12111	-3.1307	-0.010843	-0.99994	-1.5852
-0.044629	-0.34079	-1.009	-3.2106	0.068956	-0.99762	5.7611
-0.030709	0.51565	1.39	-3.1614	0.019789	-0.9998	-2.9774
0.0020844	0.052785	-0.047833	-3.1265	-0.015106	-0.99989	0.27557
-0.0020081	0.11384	0.17514	-3.1174	-0.024156	-0.99971	-1.2676
0.011822	-0.065283	-0.32318	-3.1212	-0.020344	-0.99979	1.1776
0.028554	0.13968	0.31339	-3.1111	-0.030529	-0.99953	-1.1314
0.030572	-0.0623	-0.082647	-3.096	-0.045614	-0.99896	-1.2605
0.015936	-0.22101	-0.60524	-3.1349	-0.0066851	-0.99998	2.4175
