x	v	dtheta	theta
0.095197	-0.00013932	0.021277	0.024313
0.11112	0.51495	-1.5981	-0.045749
0.075502	-1.1123	3.3863	0.043212
-0.089062	-2.0784	5.5222	0.51919
-0.21431	-0.5193	0.023711	0.80147
-0.20932	0.59173	-4.4403	0.57055
-0.055715	2.3444	-10.112	-0.16047
0.20002	2.356	-8.4553	-1.1439
0.3439	0.79094	-5.1301	-1.8024
0.36766	-0.35477	-4.033	-2.2638
0.27631	-1.0504	-3.7236	-2.6176
0.20031	-0.63828	-1.5494	-2.8787
0.14058	-0.69901	-1.1001	-2.9951
0.06444	-0.9112	-1.4851	-3.1205
-0.021621	-0.62425	-0.79781	-3.2373
-0.079091	-0.41275	-0.44544	-3.3157
-0.076095	0.014431	0.29303	-3.3009
-0.068935	0.26468	0.56807	-3.2713
-0.032378	0.51422	1.0439	-3.1913
0.0028416	0.36646	0.69952	-3.0925
0.014634	-0.020874	-0.32508	-3.075
0.015323	-0.070612	-0.32435	-3.1037
-0.007766	0.0077827	-0.10308	-3.1507
0.023983	0.1381	0.3958	-3.1177
0.036058	-0.070485	-0.15046	-3.1157
0.0053045	0.0037546	0.17811	-3.0935
-0.0061482	-0.5108	-1.2557	-3.1449
-0.018435	0.081043	0.32787	-3.198
-0.029221	0.095343	0.22298	-3.1704
-0.021733	0.00109	-0.13609	-3.1546
-0.018093	0.10772	0.063986	-3.163
-0.0013784	0.25989	0.4759	-3.1389
0.01641	0.13471	0.16789	-3.1292
0.042799	0.2111	0.48161	-3.0891
0.033772	-0.072276	-0.072564	-3.0629
0.0076761	-0.48861	-1.175	-3.1267
0.014867	-0.0077563	0.17499	-3.1788
-0.011104	0.11009	0.47247	-3.1251
-0.01904	-0.37333	-0.99557	-3.1683
-0.033472	0.24048	0.74597	-3.1807
-0.020578	-0.075124	-0.25418	-3.1484
