x	v	dtheta	theta
-0.039401	0.077677	0.069656	0.014017
0.0068024	0.67422	-1.5781	-0.068464
-0.019563	-0.94615	3.499	0.041482
-0.16684	-1.9806	5.7038	0.53837
-0.27287	-0.40014	0.17763	0.80659
-0.26064	0.70964	-4.2789	0.59979
-0.11523	2.5112	-10.155	-0.12519
0.14853	2.5334	-8.6352	-1.1021
0.32868	0.98557	-5.1763	-1.7876
0.36451	-0.1721	-3.9746	-2.2285
0.31584	-1.0257	-3.8744	-2.6032
0.24489	-0.2497	-0.5581	-2.8116
0.18949	-0.94236	-1.8134	-2.9301
0.09899	-0.89895	-1.2845	-3.0664
0.00335	-1.0253	-1.6856	-3.2319
-0.08016	-0.34844	-0.040687	-3.3169
-0.097953	-0.32807	-0.48543	-3.3345
-0.10964	0.33627	0.82695	-3.3044
-0.076784	0.34556	0.51782	-3.2331
-0.012808	0.53758	0.7845	-3.1731
0.048301	0.69404	1.2817	-3.0996
0.092204	0.50518	1.0054	-2.9912
0.12768	-0.052093	-0.074389	-2.9343
0.085677	-0.72458	-1.5326	-3.016
0.003276	-0.67561	-1.1662	-3.1521
-0.057956	-0.50367	-0.83792	-3.2559
-0.075393	-0.038976	0.15551	-3.2986
-0.056379	0.273	0.77532	-3.226
-0.051749	0.11669	0.091516	-3.1862
-0.020813	0.20637	0.25627	-3.1833
0.012067	0.42632	0.94665	-3.1078
0.021434	0.060742	-0.033762	-3.0765
0.030122	-0.1298	-0.41655	-3.0829
0.0072434	-0.14618	-0.33161	-3.1212
-0.01296	-0.13478	-0.40065	-3.1722
0.0044095	0.21001	0.67019	-3.1531
0.020991	-0.01077	-0.053466	-3.1254
0.012705	0.028503	0.1816	-3.1099
0.0033319	-0.29799	-0.72682	-3.1391
-0.015184	0.020725	0.20659	-3.1512
-0.02366	-0.21358	-0.6608	-3.2011
