x	v	dtheta	theta
0.13941	-0.039228	0.039019	-0.062687
0.16937	0.4401	-1.2016	-0.12558
0.15334	-1.1864	3.9233	0.016287
-0.010041	-1.9147	5.3687	0.52472
-0.12648	-0.52551	0.30143	0.78986
-0.14657	0.48542	-3.981	0.61888
-0.0031801	2.3073	-9.906	-0.10618
0.24179	2.4195	-8.7603	-1.0842
0.42068	0.85269	-5.1624	-1.7771
0.43131	-0.31162	-3.8584	-2.1888
0.36129	-1.3752	-4.214	-2.5909
0.24622	-0.71079	-1.15	-2.8512
0.14445	-1.1901	-1.9149	-2.9916
0.0078546	-1.3513	-2.2071	-3.214
-0.1011	-0.8246	-1.0326	-3.3426
-0.13153	-0.51717	-0.9314	-3.4457
-0.14445	0.65238	1.5056	-3.4129
-0.064955	0.81634	1.4326	-3.2743
0.0099919	1.0235	1.8642	-3.1124
0.089218	0.72301	1.3153	-2.9546
0.13709	0.041553	0.015557	-2.9085
0.10387	-0.63496	-1.3788	-2.9531
0.02898	-1.0022	-2.147	-3.1232
-0.02586	-0.26335	-0.066365	-3.2389
-0.066105	-0.21093	-0.1974	-3.2452
-0.085319	-0.12529	-0.30751	-3.2838
-0.070045	0.47809	1.0741	-3.2313
0.0041374	0.29197	0.40977	-3.1641
0.01404	0.53462	1.0492	-3.1168
0.050357	0.27168	0.54152	-3.0114
0.061801	-0.34808	-0.98921	-3.0453
0.029732	-0.11535	-0.024131	-3.0974
0.0083484	-0.4588	-0.9134	-3.1265
-0.048534	-0.29197	-0.60586	-3.203
-0.059047	-0.013777	-0.0031753	-3.2247
-0.047153	0.12642	0.17975	-3.2086
-0.023248	0.28758	0.49011	-3.1959
0.014663	0.47094	0.90243	-3.1363
0.059048	0.33304	0.64923	-3.0507
0.079638	-0.056661	-0.15752	-3.0307
0.053653	-0.30439	-0.62803	-3.0712
