x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.15824	-0.14202	0.078743	-0.013183	-0.013183	0.99991	4.1785
-0.1332	0.49209	-1.7136	-0.095746	-0.095599	0.99542	-9.611
-0.14118	-1.1156	3.3193	-0.017975	-0.017974	0.99984	-8.5652
-0.34671	-2.1857	5.8664	0.49788	0.47756	0.8786	9.9872
-0.47756	-0.52184	0.14264	0.78371	0.70591	0.7083	8.7359
-0.44823	0.90077	-5.0289	0.52688	0.50284	0.86438	9.3969
-0.26473	2.4968	-10.118	-0.26442	-0.26135	0.96524	8.6134
-0.0063723	2.4652	-8.2043	-1.2008	-0.93232	0.36162	-9.254
0.12624	1.0013	-5.122	-1.8513	-0.96092	-0.27683	-9.7871
0.17833	-0.17033	-4.2959	-2.2993	-0.74614	-0.66579	-6.027
0.13966	-0.9104	-4.3581	-2.728	-0.40192	-0.91567	8.2344
0.10202	0.46175	0.39127	-2.9247	-0.21515	-0.97658	-4.0727
0.13985	-0.048519	-0.45986	-2.9484	-0.19196	-0.9814	-1.3923
0.11652	-0.16001	-0.25105	-2.9528	-0.18772	-0.98222	-4.5243
0.075907	-0.79092	-1.7159	-3.0543	-0.087148	-0.9962	2.6268
0.010297	-0.34611	-0.36027	-3.1618	0.020223	-0.9998	-0.26277
-0.030056	-0.41684	-0.64073	-3.2199	0.078208	-0.99694	2.2514
-0.055772	-0.1136	0.0094663	-3.2394	0.097679	-0.99522	0.7281
-0.041041	-0.039452	-0.072551	-3.2502	0.1084	-0.99411	3.4828
-0.015597	0.46445	1.2116	-3.1818	0.040149	-0.99919	-1.7774
-0.00221	0.18864	0.34186	-3.1129	-0.028686	-0.99959	-1.7591
0.01806	-0.065813	-0.34945	-3.1153	-0.026339	-0.99965	1.3588
0.012352	0.15095	0.42364	-3.1119	-0.029642	-0.99956	-2.1878
0.013821	-0.16899	-0.44942	-3.1097	-0.031892	-0.99949	0.30155
-0.020771	-0.13358	-0.25777	-3.1571	0.015475	-0.99988	0.10524
-0.02135	-0.1281	-0.23508	-3.1613	0.019732	-0.99981	0.17881
-0.051218	-0.11731	-0.36122	-3.2156	0.073916	-0.99726	2.951
-0.02393	0.34186	0.78118	-3.1786	0.037042	-0.99931	-0.97585
-0.0047159	0.16141	0.25736	-3.1237	-0.017923	-0.99984	-1.1137
0.0090528	0.0072713	-0.15945	-3.1118	-0.029751	-0.99956	0.1521
0.014805	0.026024	-0.051442	-3.1316	-0.010025	-0.99995	0.70061
0.033717	0.14607	0.35315	-3.1113	-0.030238	-0.99954	-1.1354
0.039511	-0.026683	-0.025436	-3.0999	-0.041718	-0.99913	-0.73189
0.023395	-0.098723	-0.2115	-3.1214	-0.02015	-0.9998	0.23815
0.019568	-0.050766	0.01135	-3.1146	-0.027038	-0.99963	-1.3424
-0.01411	-0.27223	-0.60481	-3.1444	0.0027594	-1	0.80475
-0.029092	-0.15063	-0.31735	-3.1924	0.05078	-0.99871	1.8206
-0.025483	0.10072	0.27142	-3.1894	0.047745	-0.99886	0.24089
-0.024824	0.12056	0.19404	-3.1874	0.045836	-0.99895	1.0267
0.016572	0.27966	0.58424	-3.1507	0.0091329	-0.99996	-0.19938
