x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.07671	0.13831	0.010268	-0.049055	-0.049035	0.9988	3.1214
-0.033931	0.57339	-1.1176	-0.1117	-0.11147	0.99377	-9.897
-0.045115	-1.0544	3.948	0.031371	0.031366	0.99951	-7.5698
-0.20367	-1.8905	5.6139	0.54263	0.51639	0.85635	9.6834
-0.32149	-0.34942	0.13773	0.81921	0.73061	0.6828	6.6667
-0.30186	0.79698	-4.3376	0.61932	0.58048	0.81428	9.9889
-0.13756	2.5874	-10.216	-0.13242	-0.13203	0.99125	7.8908
0.12051	2.5595	-8.5814	-1.1072	-0.89446	0.44715	-8.9977
0.31151	1.0371	-5.1672	-1.773	-0.97962	-0.20087	-9.9979
0.32296	-0.13815	-3.96	-2.2166	-0.79862	-0.60184	-8.3309
0.3038	-1.1008	-4.1594	-2.62	-0.49823	-0.86704	5.9738
0.22736	-0.089363	-0.17247	-2.8268	-0.30962	-0.95086	-6.1383
0.20063	-0.85817	-1.5892	-2.9039	-0.23549	-0.97188	-1.9014
0.098518	-1.064	-1.7001	-3.0593	-0.082173	-0.99662	-0.047536
-0.0096168	-1.0548	-1.6944	-3.2279	0.086188	-0.99628	3.6091
-0.094198	-0.56587	-0.64892	-3.3506	0.20748	-0.97824	3.7701
-0.12295	-0.090818	0.11606	-3.3565	0.21325	-0.977	2.7608
-0.1221	0.25184	0.39912	-3.3325	0.18975	-0.98183	3.7955
-0.089811	0.71692	1.3709	-3.2595	0.11762	-0.99306	0.0091948
-0.011728	0.69729	1.1019	-3.1381	-0.003452	-0.99999	-0.66125
0.060302	0.60626	1.0386	-3.0522	-0.089298	-0.996	-2.3821
0.10149	0.30325	0.58271	-2.9672	-0.17349	-0.98484	-4.5994
0.106	-0.29717	-0.67342	-2.9508	-0.18968	-0.98185	-3.8821
0.058113	-0.8332	-1.8709	-3.0929	-0.048703	-0.99881	4.7193
-0.0065551	-0.072735	0.44506	-3.1444	0.0028255	-1	-3.4224
-0.02629	-0.6088	-1.2599	-3.1956	0.053982	-0.99854	4.0426
-0.056599	-0.032144	0.28245	-3.2231	0.081411	-0.99668	-1.0133
-0.060611	-0.23974	-0.67372	-3.2637	0.12177	-0.99256	5.9722
-0.047277	0.63915	1.6571	-3.2033	0.06169	-0.9981	-2.3459
-0.021478	0.25999	0.46843	-3.0912	-0.050408	-0.99873	-3.2599
-0.0059733	-0.24579	-0.96277	-3.1368	-0.0047955	-0.99999	4.6929
-0.009166	0.49847	1.2884	-3.128	-0.013621	-0.99991	-3.2325
0.031324	0.011794	0.077214	-3.0276	-0.11371	-0.99351	-4.3849
0.0024396	-0.63327	-1.7223	-3.1138	-0.027757	-0.99961	5.1048
-0.02852	0.16866	0.60025	-3.178	0.036369	-0.99934	-1.728
-0.021358	-0.12579	-0.35992	-3.168	0.026409	-0.99965	1.6535
-0.035832	0.11596	0.2828	-3.1753	0.033709	-0.99943	-0.6575
-0.012049	0.0055601	-0.16734	-3.1809	0.039283	-0.99923	2.8063
-7.5267e-05	0.43956	1.133	-3.1226	-0.018946	-0.99982	-3.0525
0.032274	-0.00097961	-0.079748	-3.0768	-0.064786	-0.9979	-1.4048
