x	v	dtheta	theta	sin(theta)	cos(theta)	u
-0.017142	-0.046616	-0.15375	0.017346	0.017345	0.99985	3.9574
0.0036929	0.56298	-1.9402	-0.099917	-0.09975	0.99501	-10
-0.011932	-1.0761	3.2783	-0.027918	-0.027915	0.99961	-8.3955
-0.20704	-2.138	5.8131	0.47552	0.4578	0.88906	9.6263
-0.33317	-0.528	0.1891	0.75364	0.68429	0.72921	7.8728
-0.30596	0.80081	-4.737	0.53427	0.50922	0.86064	9.9937
-0.13031	2.4659	-10.143	-0.22937	-0.22736	0.97381	8.1932
0.1135	2.4265	-8.2294	-1.1882	-0.92771	0.37329	-9.6296
0.28728	0.89582	-5.0597	-1.8358	-0.96509	-0.26192	-9.976
0.30949	-0.24855	-4.0781	-2.2719	-0.76416	-0.64503	-6.0151
0.23993	-0.95348	-3.8642	-2.6632	-0.46036	-0.88773	5.4156
0.20217	0.0026069	-0.15507	-2.8416	-0.2955	-0.95534	-5.7937
0.14403	-0.7428	-1.624	-2.9558	-0.18476	-0.98278	0.083996
0.086502	-0.66309	-0.94504	-3.0686	-0.07289	-0.99734	-0.99967
0.0069748	-0.79632	-1.2993	-3.158	0.016397	-0.99987	1.0626
-0.058177	-0.65627	-1.1568	-3.298	0.15574	-0.9878	5.9698
-0.090898	0.16578	0.82843	-3.3087	0.16631	-0.98607	-0.1851
-0.052573	0.066577	0.059786	-3.2745	0.1325	-0.99118	4.3604
-0.016744	0.70888	1.735	-3.1733	0.031726	-0.9995	-2.3734
0.0089621	0.36203	0.71149	-3.0752	-0.066338	-0.9978	-3.2713
0.039396	-0.12902	-0.41178	-3.0647	-0.076832	-0.99704	-0.7447
0.011431	-0.19794	-0.40273	-3.0937	-0.047857	-0.99885	-1.4132
-0.0086082	-0.37893	-0.92195	-3.1411	-0.00047163	-1	2.2651
-0.037538	-0.076446	-0.013264	-3.1878	0.046203	-0.99893	-0.30083
-0.041673	-0.14189	-0.40621	-3.1925	0.050913	-0.9987	2.2397
-0.031112	0.16483	0.27626	-3.2106	0.068967	-0.99762	1.7284
-0.011525	0.42144	0.83332	-3.1613	0.019724	-0.99981	-0.8148
0.0060109	0.26365	0.44102	-3.0957	-0.045919	-0.99895	-2.0435
0.033696	-0.0075753	-0.32356	-3.1002	-0.041418	-0.99914	1.8211
0.044709	0.30033	0.75603	-3.0777	-0.06387	-0.99796	-2.9021
0.049716	-0.13228	-0.26071	-3.0494	-0.09203	-0.99576	-2.2835
0.036036	-0.43702	-1.0419	-3.1301	-0.011496	-0.99993	3.9599
0.022578	0.18464	0.85708	-3.1301	-0.011452	-0.99993	-2.858
0.0074636	-0.25184	-0.33313	-3.1042	-0.037397	-0.9993	-2.2284
-0.037671	-0.58525	-1.3377	-3.1787	0.037113	-0.99931	3.7589
-0.06413	-0.028569	0.051478	-3.2492	0.10742	-0.99421	1.6075
-0.058693	0.16561	0.36113	-3.2206	0.078896	-0.99688	0.50695
-0.042929	0.19608	0.25533	-3.1814	0.039803	-0.99921	0.55211
-0.0095365	0.2448	0.3187	-3.149	0.0074218	-0.99997	0.39084
0.0090936	0.31979	0.49955	-3.1211	-0.020452	-0.99979	-0.66495
