x	v	dtheta	theta
0.016798	0.56031	-0.93616	-0.11185
-0.016109	-1.0471	4.1118	0.05441
-0.1645	-1.8885	5.7302	0.57644
-0.27738	-0.30449	0.23291	0.8524
-0.27303	0.67425	-3.9473	0.66901
-0.10822	2.5354	-10.065	-0.048032
0.17474	2.6557	-9.0249	-1.0382
0.34223	1.0539	-5.3362	-1.7421
0.37685	-0.13056	-4.0179	-2.1943
0.32494	-1.0797	-4.07	-2.5949
0.26094	-0.17483	-0.41242	-2.7994
0.21046	-0.92721	-1.7051	-2.8952
0.11267	-1.1078	-1.8212	-3.0776
0.0080689	-0.79163	-0.89187	-3.2281
-0.050326	-0.63414	-0.69172	-3.2891
-0.12714	-0.36672	-0.44348	-3.3331
-0.13944	-0.097537	-0.26054	-3.3753
-0.10339	0.7402	1.5012	-3.3142
-0.014209	0.77765	1.3303	-3.1797
0.054341	0.81491	1.4531	-3.047
0.10778	0.42559	0.76949	-2.9413
0.12103	-0.27138	-0.63603	-2.9363
0.065427	-0.80945	-1.6894	-3.0568
-0.009438	-0.49249	-0.72804	-3.1555
-0.060719	-0.61678	-1.2118	-3.2598
-0.057946	0.1372	0.56021	-3.2928
-0.054159	0.34525	0.85461	-3.21
-0.03853	0.12552	0.093672	-3.1881
0.0010972	0.33628	0.68886	-3.1397
0.039593	0.16412	0.2366	-3.104
0.034014	0.16266	0.36772	-3.0625
0.024707	-0.28499	-0.68186	-3.0583
-0.019407	-0.51881	-1.3303	-3.1781
-0.013018	0.34133	1.0483	-3.1966
-0.002265	0.11002	0.33446	-3.1166
0.006736	-0.25596	-0.71153	-3.1291
-0.017128	0.085396	0.284	-3.1537
-0.027396	-0.11569	-0.39164	-3.176
-0.020846	0.21501	0.60554	-3.1505
-0.0031651	-0.13372	-0.41356	-3.1366
